lab_sample_id,site_id,site_name,latitude,longitude,collection_date,collection_time,salinity_ppt,temp_do
VM_MI_13_0022_0,8,"Oyster Landing Beach",33.524015,-79.061975,2013-01-22,10:10:00,34.2,9.8
VM_MI_13_0022_1,8,"Oyster Landing Beach",33.524015,-79.061975,2013-01-22,10:10:00,34.3,9.7
VM_MI_13_0022_2,8,"Oyster Landing Beach",33.524015,-79.061975,2013-01-22,10:10:00,34.2,9.7
VM_MI_13_0034_0,8,"Oyster Landing Beach",33.524015,-79.061975,2013-02-12,10:11:00,34.2,11.9
VM_MI_13_0034_1,8,"Oyster Landing Beach",33.524015,-79.061975,2013-02-12,10:11:00,34.2,11.9
VM_MI_13_0034_2,8,"Oyster Landing Beach",33.524015,-79.061975,2013-02-12,10:11:00,34.2,11.9
VM_MI_13_0042_0,8,"Oyster Landing Beach",33.524015,-79.061975,2013-02-27,09:55:00,33.9,10.9
VM_MI_13_0042_1,8,"Oyster Landing Beach",33.524015,-79.061975,2013-02-27,09:55:00,33.9,10.8
VM_MI_13_0042_2,8,"Oyster Landing Beach",33.524015,-79.061975,2013-02-27,09:55:00,33.9,10.8
VM_MI_13_0049_0,8,"Oyster Landing Beach",33.524015,-79.061975,2013-03-12,09:10:00,33.9,12.9
VM_MI_13_0049_1,8,"Oyster Landing Beach",33.524015,-79.061975,2013-03-12,09:10:00,33.9,12.7
VM_MI_13_0049_2,8,"Oyster Landing Beach",33.524015,-79.061975,2013-03-12,09:10:00,33.9,12.7
VM_MI_13_0056_0,8,"Oyster Landing Beach",33.524015,-79.061975,2013-03-26,09:11:00,32.4,10.2
VM_MI_13_0056_1,8,"Oyster Landing Beach",33.524015,-79.061975,2013-03-26,09:11:00,32.4,10.2
VM_MI_13_0056_2,8,"Oyster Landing Beach",33.524015,-79.061975,2013-03-26,09:11:00,32.4,10.1
VM_MI_13_0065_0,8,"Oyster Landing Beach",33.524015,-79.061975,2013-04-09,09:15:00,33.4,16.5
VM_MI_13_0065_1,8,"Oyster Landing Beach",33.524015,-79.061975,2013-04-09,09:15:00,33.4,16.5
VM_MI_13_0065_2,8,"Oyster Landing Beach",33.524015,-79.061975,2013-04-09,09:15:00,33.4,16.5
VM_MI_13_0074_0,8,"Oyster Landing Beach",33.524015,-79.061975,2013-04-23,09:00:00,33.6,15.4
VM_MI_13_0074_1,8,"Oyster Landing Beach",33.524015,-79.061975,2013-04-23,09:00:00,33.6,15.4
VM_MI_13_0074_2,8,"Oyster Landing Beach",33.524015,-79.061975,2013-04-23,09:00:00,33.6,15.4
VM_MI_13_0082_0,8,"Oyster Landing Beach",33.524015,-79.061975,2013-05-14,09:11:00,35,18.6
VM_MI_13_0082_1,8,"Oyster Landing Beach",33.524015,-79.061975,2013-05-14,09:11:00,35,18.5
VM_MI_13_0082_2,8,"Oyster Landing Beach",33.524015,-79.061975,2013-05-14,09:11:00,34.9,18.5
VM_MI_13_0087_0,8,"Oyster Landing Beach",33.524015,-79.061975,2013-05-28,09:00:00,35,23.6
