Date,Time,Timestamp,Station,Temp,Salinity
4/3/18,13:15:00,03-04-2018 13:15:00,RR,5.57,17.87
4/3/18,13:30:00,03-04-2018 13:30:00,RR,5.5,19.33
4/3/18,13:45:00,03-04-2018 13:45:00,RR,5.48,20.65
4/3/18,14:00:00,03-04-2018 14:00:00,RR,5.49,21.49
4/3/18,14:15:00,03-04-2018 14:15:00,RR,5.46,22.02
4/3/18,14:30:00,03-04-2018 14:30:00,RR,5.41,22.48
4/3/18,14:45:00,03-04-2018 14:45:00,RR,5.36,22.9
4/3/18,15:00:00,03-04-2018 15:00:00,RR,5.36,22.98
4/3/18,15:15:00,03-04-2018 15:15:00,RR,5.32,23.28
4/3/18,15:30:00,03-04-2018 15:30:00,RR,5.32,23.29
4/3/18,15:45:00,03-04-2018 15:45:00,RR,5.3,23.45
4/3/18,16:00:00,03-04-2018 16:00:00,RR,5.34,23.25
4/3/18,16:15:00,03-04-2018 16:15:00,RR,5.41,23.76
4/3/18,16:30:00,03-04-2018 16:30:00,RR,5.43,23.48
4/3/18,16:45:00,03-04-2018 16:45:00,RR,5.46,23.01
4/3/18,17:00:00,03-04-2018 17:00:00,RR,5.51,21.84
4/3/18,17:15:00,03-04-2018 17:15:00,RR,5.56,20.58
4/3/18,17:30:00,03-04-2018 17:30:00,RR,5.61,19.26
4/3/18,17:45:00,03-04-2018 17:45:00,RR,5.68,17.87
4/3/18,18:00:00,03-04-2018 18:00:00,RR,5.75,16.56
4/3/18,18:15:00,03-04-2018 18:15:00,RR,5.81,15.43
4/3/18,18:30:00,03-04-2018 18:30:00,RR,5.86,14.41
4/3/18,18:45:00,03-04-2018 18:45:00,RR,5.9,13.46
4/3/18,19:00:00,03-04-2018 19:00:00,RR,5.94,12.36
4/3/18,19:15:00,03-04-2018 19:15:00,RR,5.97,11.43
4/3/18,19:30:00,03-04-2018 19:30:00,RR,6,10.47
4/3/18,19:45:00,03-04-2018 19:45:00,RR,6.03,9.71
4/3/18,20:00:00,03-04-2018 20:00:00,RR,6.05,8.84
4/3/18,20:15:00,03-04-2018 20:15:00,RR,6.06,8.07
4/3/18,20:30:00,03-04-2018 20:30:00,RR,6.07,7.37
4/3/18,20:45:00,03-04-2018 20:45:00,RR,6.09,6.71
4/3/18,21:00:00,03-04-2018 21:00:00,RR,6.09,6.01
4/3/18,21:15:00,03-04-2018 21:15:00,RR,6.09,5.61
4/3/18,21:30:00,03-04-2018 21:30:00,RR,6.09,5.15
4/3/18,21:45:00,03-04-2018 21:45:00,RR,6.09,4.73
4/3/18,22:00:00,03-04-2018 22:00:00,RR,6.08,4.35
4/3/18,22:15:00,03-04-2018 22:15:00,RR,6.07,4.08
4/3/18,22:30:00,03-04-2018 22:30:00,RR,6.04,4.02
4/3/18,22:45:00,03-04-2018 22:45:00,RR,6,4.84
4/3/18,23:00:00,03-04-2018 23:00:00,RR,6.02,6.08
4/3/18,23:15:00,03-04-2018 23:15:00,RR,5.99,7.24
4/3/18,23:30:00,03-04-2018 23:30:00,RR,5.95,8.32
4/3/18,23:45:00,03-04-2018 23:45:00,RR,5.91,9.18
4/4/18,0:00:00,04-04-2018 00:00:00,RR,5.82,10.74
4/4/18,0:15:00,04-04-2018 00:15:00,RR,5.7,12.53
4/4/18,0:30:00,04-04-2018 00:30:00,RR,5.55,14.92
4/4/18,0:45:00,04-04-2018 00:45:00,RR,5.47,16.49
4/4/18,1:00:00,04-04-2018 01:00:00,RR,5.41,17.95
4/4/18,1:15:00,04-04-2018 01:15:00,RR,5.34,19.4
4/4/18,1:30:00,04-04-2018 01:30:00,RR,5.25,20.66
4/4/18,1:45:00,04-04-2018 01:45:00,RR,5.16,21.63
4/4/18,2:00:00,04-04-2018 02:00:00,RR,5.11,22.32
4/4/18,2:15:00,04-04-2018 02:15:00,RR,5.09,22.85
4/4/18,2:30:00,04-04-2018 02:30:00,RR,5.07,23.23
4/4/18,2:45:00,04-04-2018 02:45:00,RR,5.04,23.56
4/4/18,3:00:00,04-04-2018 03:00:00,RR,5.02,23.82
4/4/18,3:15:00,04-04-2018 03:15:00,RR,4.99,24.08
4/4/18,3:30:00,04-04-2018 03:30:00,RR,4.96,24.34
4/4/18,3:45:00,04-04-2018 03:45:00,RR,4.93,24.55
4/4/18,4:00:00,04-04-2018 04:00:00,RR,4.91,24.69
4/4/18,4:15:00,04-04-2018 04:15:00,RR,4.9,24.74
4/4/18,4:30:00,04-04-2018 04:30:00,RR,4.92,24.54
4/4/18,4:45:00,04-04-2018 04:45:00,RR,4.95,25.14
4/4/18,5:00:00,04-04-2018 05:00:00,RR,4.97,25.26
4/4/18,5:15:00,04-04-2018 05:15:00,RR,5.01,24.75
4/4/18,5:30:00,04-04-2018 05:30:00,RR,5.02,24.11
4/4/18,5:45:00,04-04-2018 05:45:00,RR,5.04,23.35
4/4/18,6:00:00,04-04-2018 06:00:00,RR,5.06,22.44
4/4/18,6:15:00,04-04-2018 06:15:00,RR,5.12,20.85
4/4/18,6:30:00,04-04-2018 06:30:00,RR,5.19,19.15
4/4/18,6:45:00,04-04-2018 06:45:00,RR,5.26,17.79
4/4/18,7:00:00,04-04-2018 07:00:00,RR,5.31,16.43
4/4/18,7:15:00,04-04-2018 07:15:00,RR,5.36,15.03
4/4/18,7:30:00,04-04-2018 07:30:00,RR,5.39,13.77
4/4/18,7:45:00,04-04-2018 07:45:00,RR,5.43,12.73
4/4/18,8:00:00,04-04-2018 08:00:00,RR,5.45,11.83
4/4/18,8:15:00,04-04-2018 08:15:00,RR,5.48,10.85
4/4/18,8:30:00,04-04-2018 08:30:00,RR,5.52,9.88
4/4/18,8:45:00,04-04-2018 08:45:00,RR,5.56,9.07
4/4/18,9:00:00,04-04-2018 09:00:00,RR,5.6,8.19
4/4/18,9:15:00,04-04-2018 09:15:00,RR,5.63,7.47
4/4/18,9:30:00,04-04-2018 09:30:00,RR,5.64,6.75
4/4/18,9:45:00,04-04-2018 09:45:00,RR,5.65,6.22
4/4/18,10:00:00,04-04-2018 10:00:00,RR,5.68,5.78
4/4/18,10:15:00,04-04-2018 10:15:00,RR,5.69,5.32
4/4/18,10:30:00,04-04-2018 10:30:00,RR,5.73,4.89
4/4/18,10:45:00,04-04-2018 10:45:00,RR,5.72,4.52
4/4/18,11:00:00,04-04-2018 11:00:00,RR,5.74,4.25
4/4/18,11:15:00,04-04-2018 11:15:00,RR,5.76,4.24
4/4/18,11:30:00,04-04-2018 11:30:00,RR,5.8,5.07
4/4/18,11:45:00,04-04-2018 11:45:00,RR,5.72,6.24
4/4/18,12:00:00,04-04-2018 12:00:00,RR,5.68,6.91
4/4/18,12:15:00,04-04-2018 12:15:00,RR,5.67,7.89
4/4/18,12:30:00,04-04-2018 12:30:00,RR,5.67,8.63
4/4/18,12:45:00,04-04-2018 12:45:00,RR,5.68,10.18
4/4/18,13:00:00,04-04-2018 13:00:00,RR,5.67,11.74
4/4/18,13:15:00,04-04-2018 13:15:00,RR,5.61,13.92
4/4/18,13:30:00,04-04-2018 13:30:00,RR,5.52,15.37
4/4/18,13:45:00,04-04-2018 13:45:00,RR,5.42,16.66
4/4/18,14:00:00,04-04-2018 14:00:00,RR,5.34,18.12
4/4/18,14:15:00,04-04-2018 14:15:00,RR,5.31,19.5
4/4/18,14:30:00,04-04-2018 14:30:00,RR,5.3,20.65
4/4/18,14:45:00,04-04-2018 14:45:00,RR,5.27,21.43
4/4/18,15:00:00,04-04-2018 15:00:00,RR,5.24,21.96
4/4/18,15:15:00,04-04-2018 15:15:00,RR,5.21,22.3
4/4/18,15:30:00,04-04-2018 15:30:00,RR,5.18,22.66
4/4/18,15:45:00,04-04-2018 15:45:00,RR,5.14,22.98
4/4/18,16:00:00,04-04-2018 16:00:00,RR,5.11,23.22
4/4/18,16:15:00,04-04-2018 16:15:00,RR,5.1,23.36
4/4/18,16:30:00,04-04-2018 16:30:00,RR,5.18,23.19
4/4/18,16:45:00,04-04-2018 16:45:00,RR,5.11,23.36
