Timestamp,Site,Temp,Flag_Temp,Cond,SpCond,nLFCond,Salinity,Flag_Cond,DO_conc,DO_sat,DO_local,Flag_DO,pH,pH_mV,Flag_pH,Pressure,VerticalPosition,Depth,Comments
2022-05-12 15:00:00,RR,16.193,NA,15102.7,18156.8,18410.3,10.78,NA,9.67,105.1,105.1,NA,7.79,-48.2,NA,0.767,0.537,0.535,NA
2022-05-12 15:15:00,RR,16.239,NA,14521.3,17439.4,17682,10.32,NA,9.74,105.6,105.6,NA,7.79,-48.1,NA,0.7,0.489,0.489,NA
2022-05-12 15:30:00,RR,16.321,NA,14034.6,16823.5,17056,9.93,NA,9.81,106.2,106.2,NA,7.8,-48.5,NA,0.655,0.458,0.458,NA
2022-05-12 15:45:00,RR,16.392,NA,13578.2,16249.8,16473.1,9.56,NA,9.86,106.7,106.7,NA,7.8,-48.7,NA,0.691,0.484,0.483,NA
2022-05-12 16:00:00,RR,16.441,NA,13634.7,16299.3,16522.3,9.59,NA,9.89,107.1,107.1,NA,7.81,-49.1,NA,0.782,0.549,0.547,NA
2022-05-12 16:15:00,RR,16.498,NA,14945.9,17842.9,18085.9,10.58,NA,9.79,106.9,106.9,NA,7.8,-48.5,NA,0.88,0.616,0.615,NA
2022-05-12 16:30:00,RR,15.799,NA,16193.8,19646.3,19928.9,11.75,NA,9.5,103,103,NA,7.77,-46.6,NA,1.007,0.704,0.702,NA
2022-05-12 16:45:00,RR,15.733,NA,17033.1,20696.4,20995.6,12.43,NA,9.43,102.4,102.4,NA,7.77,-47,NA,1.179,0.825,0.822,NA
2022-05-12 17:00:00,RR,15.807,NA,17573.4,21316.5,21623,12.84,NA,9.37,102.3,102.3,NA,7.78,-47.4,NA,1.371,0.958,0.955,NA
2022-05-12 17:15:00,RR,15.921,NA,18734.6,22665.2,22988.4,13.72,NA,8.99,98.8,98.8,NA,7.74,-45.4,NA,1.576,1.098,1.097,NA
2022-05-12 17:30:00,RR,15.931,NA,19540,23633.8,23970.6,14.36,NA,8.98,99.1,99.1,NA,7.76,-46.6,NA,1.811,1.263,1.261,NA
2022-05-12 17:45:00,RR,16.111,NA,20391.7,24561.9,24907.1,14.98,NA,9.02,100.3,100.3,NA,7.79,-48,NA,2.063,1.438,1.436,NA
2022-05-12 18:00:00,RR,16.217,NA,21519.3,25857,26217.3,15.84,NA,8.97,100.5,100.5,NA,7.81,-49,NA,2.341,1.63,1.628,NA
2022-05-12 18:15:00,RR,16.436,NA,23233.6,27777.3,28157.6,17.14,NA,8.94,101.4,101.4,NA,7.84,-50.7,NA,2.61,1.816,1.814,NA
2022-05-12 18:30:00,RR,16.604,NA,24967.4,29735.8,30137.1,18.46,NA,8.97,102.9,102.9,NA,7.88,-53.2,NA,2.901,2.016,2.014,NA
2022-05-12 18:45:00,RR,16.539,NA,26358.6,31439.1,31865.8,19.63,NA,8.97,103.6,103.6,NA,7.91,-54.8,NA,3.172,2.202,2.2,NA
2022-05-12 19:00:00,RR,16.43,NA,27303.1,32646.9,33094.1,20.46,NA,9.04,104.7,104.7,NA,7.95,-56.7,NA,3.44,2.386,2.384,NA
2022-05-12 19:15:00,RR,16.267,NA,28199.5,33844.5,34314.3,21.28,NA,9.2,106.6,106.6,NA,7.99,-59.3,NA,3.685,2.555,2.552,NA
2022-05-12 19:30:00,RR,16.158,NA,28967.9,34854.3,35342.4,21.98,NA,9.31,108.2,108.2,NA,8.03,-61.3,NA,3.903,2.704,2.702,NA
2022-05-12 19:45:00,RR,16.11,NA,29602.1,35656.7,36157.8,22.54,NA,9.41,109.6,109.6,NA,8.06,-63,NA,4.092,2.833,2.831,NA
2022-05-12 20:00:00,RR,16.104,NA,30080.4,36237.5,36747.1,22.94,NA,9.48,110.7,110.7,NA,8.08,-64.2,NA,4.231,2.929,2.926,NA
2022-05-12 20:15:00,RR,16.074,NA,30522.3,36795.3,37313.9,23.33,NA,9.56,111.8,111.8,NA,8.1,-65.3,NA,4.345,3.006,3.004,NA
2022-05-12 20:30:00,RR,16.014,NA,30804.2,37187.1,37713.6,23.61,NA,9.61,112.5,112.5,NA,8.12,-66.1,NA,4.382,3.031,3.03,NA
2022-05-12 20:45:00,RR,15.964,NA,30872.2,37311.6,37841.9,23.69,NA,9.63,112.6,112.6,NA,8.12,-66.4,NA,4.41,3.05,3.049,NA
2022-05-12 21:00:00,RR,15.968,NA,30790.2,37209.3,37738,23.62,NA,9.59,112.1,112.1,NA,8.12,-66.2,NA,4.385,3.033,3.032,NA
2022-05-12 21:15:00,RR,15.934,NA,30856.4,37318,37849.6,23.7,NA,9.62,112.5,112.5,NA,8.12,-66.3,NA,4.316,2.986,2.984,NA
2022-05-12 21:30:00,RR,15.998,NA,30636.1,36997,37521.5,23.47,NA,9.52,111.3,111.3,NA,8.11,-65.6,NA,4.207,2.909,2.908,NA
2022-05-12 21:45:00,RR,16.078,NA,29897,36038.1,36545.9,22.8,NA,9.36,109.2,109.2,NA,8.07,-63.7,NA,4.053,2.804,2.804,NA
2022-05-12 22:00:00,RR,16.111,NA,29397.2,35408.9,35906.5,22.37,NA,9.27,107.9,107.9,NA,8.05,-62.4,NA,3.891,2.692,2.693,NA
2022-05-12 22:15:00,RR,16.131,NA,28972.8,34881.3,35370.8,22,NA,9.17,106.4,106.4,NA,8.03,-61.1,NA,3.71,2.57,2.568,NA
2022-05-12 22:30:00,RR,16.176,NA,28345,34091,34567.6,21.45,NA,9.07,105.1,105.1,NA,8,-59.6,NA,3.547,2.456,2.457,NA
2022-05-12 22:45:00,RR,16.219,NA,27698.9,33281,33744.7,20.89,NA,8.96,103.6,103.6,NA,7.97,-57.9,NA,3.373,2.337,2.336,NA
2022-05-12 23:00:00,RR,16.259,NA,26987.7,32396.5,32846.5,20.28,NA,8.85,102,102,NA,7.94,-56.2,NA,3.207,2.224,2.223,NA
2022-05-12 23:15:00,RR,16.293,NA,26201.8,31428.5,31863.9,19.62,NA,8.78,100.9,100.9,NA,7.91,-54.6,NA,3.035,2.105,2.105,NA
2022-05-12 23:30:00,RR,16.291,NA,25336.4,30391.5,30812.6,18.91,NA,8.72,99.7,99.7,NA,7.88,-52.9,NA,2.868,1.991,1.99,NA
2022-05-12 23:45:00,RR,16.262,NA,24343.1,29219.8,29625.6,18.11,NA,8.68,98.7,98.7,NA,7.85,-51.2,NA,2.692,1.87,1.869,NA
2022-05-13 00:00:00,RR,16.21,NA,23541.5,28291.5,28686,17.48,NA,8.65,97.9,97.9,NA,7.82,-49.9,NA,2.516,1.748,1.748,NA
2022-05-13 00:15:00,RR,16.162,NA,22891.6,27540.2,27925.7,16.97,NA,8.63,97.3,97.3,NA,7.81,-48.9,NA,2.352,1.637,1.634,NA
2022-05-13 00:30:00,RR,16.11,NA,22361.2,26934.5,27313,16.57,NA,8.61,96.7,96.7,NA,7.79,-47.9,NA,2.19,1.523,1.522,NA
2022-05-13 00:45:00,RR,16.063,NA,21868.9,26370.5,26742.4,16.19,NA,8.6,96.2,96.2,NA,7.78,-47.1,NA,2.032,1.413,1.413,NA
