Date,Time,Station,Temp,SpCond,Cond,Salinity,DOsat%,DOsat%Local,DO Conc,Depth,Comments
2018-04-03,13:15:00,RR,5.57,29.29,18.42,17.87,95.2,94.6,10.64,2.36,NA
2018-04-03,13:30:00,RR,5.50,31.49,19.77,19.33,96.5,95.9,10.70,2.57,NA
2018-04-03,13:45:00,RR,5.48,33.46,20.98,20.65,98.2,97.6,10.79,2.76,NA
2018-04-03,14:00:00,RR,5.49,34.70,21.77,21.49,99.1,98.5,10.84,2.91,NA
2018-04-03,14:15:00,RR,5.46,35.48,22.24,22.02,99.7,99.1,10.87,3.00,NA
2018-04-03,14:30:00,RR,5.41,36.16,22.63,22.48,99.8,99.2,10.86,3.06,NA
2018-04-03,14:45:00,RR,5.36,36.79,22.99,22.90,100.0,99.4,10.87,3.09,NA
2018-04-03,15:00:00,RR,5.36,36.90,23.06,22.98,100.0,99.4,10.86,3.09,NA
2018-04-03,15:15:00,RR,5.32,37.35,23.31,23.28,100.2,99.6,10.87,3.09,NA
2018-04-03,15:30:00,RR,5.32,37.36,23.32,23.29,100.3,99.7,10.88,3.05,NA
2018-04-03,15:45:00,RR,5.30,37.61,23.46,23.45,100.4,99.8,10.88,2.99,NA
2018-04-03,16:00:00,RR,5.34,37.30,23.29,23.25,100.3,99.7,10.88,2.90,NA
2018-04-03,16:15:00,RR,5.41,38.04,23.81,23.76,100.0,99.4,10.79,2.77,NA
2018-04-03,16:30:00,RR,5.43,37.63,23.56,23.48,99.7,99.1,10.77,2.64,NA
2018-04-03,16:45:00,RR,5.46,36.94,23.15,23.01,99.2,98.6,10.74,2.51,NA
2018-04-03,17:00:00,RR,5.51,35.21,22.10,21.84,98.4,97.8,10.73,2.37,NA
2018-04-03,17:15:00,RR,5.56,33.34,20.96,20.58,97.3,96.7,10.68,2.23,NA
2018-04-03,17:30:00,RR,5.61,31.38,19.75,19.26,96.1,95.6,10.64,2.08,NA
2018-04-03,17:45:00,RR,5.68,29.28,18.48,17.87,95.0,94.4,10.59,1.94,NA
2018-04-03,18:00:00,RR,5.75,27.30,17.26,16.56,94.0,93.5,10.56,1.80,NA
2018-04-03,18:15:00,RR,5.81,25.58,16.20,15.43,93.2,92.6,10.52,1.66,NA
2018-04-03,18:30:00,RR,5.86,24.01,15.23,14.41,92.4,91.9,10.50,1.53,NA
2018-04-03,18:45:00,RR,5.90,22.55,14.32,13.46,91.8,91.2,10.48,1.41,NA
2018-04-03,19:00:00,RR,5.94,20.84,13.25,12.36,91.1,90.6,10.47,1.29,NA
2018-04-03,19:15:00,RR,5.97,19.39,12.34,11.43,90.6,90.1,10.46,1.17,NA
2018-04-03,19:30:00,RR,6.00,17.87,11.39,10.47,90.1,89.5,10.46,1.07,NA
2018-04-03,19:45:00,RR,6.03,16.66,10.63,9.71,89.7,89.2,10.47,0.97,NA
2018-04-03,20:00:00,RR,6.05,15.28,9.75,8.84,89.3,88.8,10.48,0.87,NA
