Station Name,Date,Time,Sample Type,Sample Media,Depth,Parameter,Concentration,Unit,Qualifier Code,Detection Limit,Detection Limit Unit,Quantitation Level,Quantitation Level Unit,Lab Name,Analytical Method Number,Comments,Location
WW89,5/15/14,8:15:00 AM,Grab,Water,1,"Salinity, (ppt) - 00480",8.5,ppt,,0.4,ppt,0.4,ppt,URIWW,,,NR 03 - Lower Pond A 
WW89,5/15/14,,Grab,Water ,0.5,"Salinity, (ppt) - 00480",8.5,ppt,,0.4,ppt,0.4,ppt,URIWW,,,NR 03 - Lower Pond A 
WW89,5/15/14,8:15:00 AM,Grab,Water,3,"Salinity, (ppt) - 00480",17.5,ppt,,0.4,ppt,0.4,ppt,URIWW,,,NR 03 - Lower Pond A 
WW89,5/15/14,,Grab,Water ,3,"Salinity, (ppt) - 00480",17.5,ppt,,0.4,ppt,0.4,ppt,URIWW,,,NR 03 - Lower Pond A 
WW91,5/16/14,8:00:00 AM,Grab,Water,0.5,"Salinity, (ppt) - 00480",10,ppt,,0.4,ppt,0.4,ppt,URIWW,,,NR 04 - Lower Pond B
WW91,5/16/14,,Grab,Water ,0.5,"Salinity, (ppt) - 00480",10,ppt,,0.4,ppt,0.4,ppt,URIWW,,,NR 04 - Lower Pond B 
WW91,5/16/14,8:00:00 AM,Grab,Water,3,"Salinity, (ppt) - 00480",15,ppt,,0.4,ppt,0.4,ppt,URIWW,,,NR 04 - Lower Pond B
WW91,5/16/14,,Grab,Water ,3,"Salinity, (ppt) - 00480",15,ppt,,0.4,ppt,0.4,ppt,URIWW,,,NR 04 - Lower Pond B 
WW89,5/30/14,8:30:00 AM,Grab,Water,1,"Salinity, (ppt) - 00480",13,ppt,,0.4,ppt,0.4,ppt,URIWW,,,NR 03 - Lower Pond A 
WW89,5/30/14,,Grab,Water ,0.5,"Salinity, (ppt) - 00480",13,ppt,,0.4,ppt,0.4,ppt,URIWW,,,NR 03 - Lower Pond A 
