Station Name,Date,Time,Sample Type,Sample Media,Depth,Parameter,Concentration,Unit,Qualifier Code,Detection Limit,Detection Limit Unit,Quantitation Level,Quantitation Level Unit,Lab Name,Analytical Method Number,Sediment Particle Size,Particle Size Unit,Fish Sample Type,Fish Taxa,Comments,Location,Watershed Code,Monitor 1,Monitor 2
WW89,5/11/16,8:00:00 AM,Grab,Water,0.1,Temperature - 00011,21.2,C,,-35,C,-35,C,URIWW,2550: Temperature of Water by Thermometer,,,NR 03 - Lower Pond A,PE,C.Wakefield,,,,
WW89,5/11/16,8:00:00 AM,Grab,Water,0.5,Temperature - 00011,20.5,C,,-35,C,-35,C,URIWW,2550: Temperature of Water by Thermometer,,,NR 03 - Lower Pond A,PE,C.Wakefield,,,,
WW89,5/11/16,8:00:00 AM,Grab,Water,3,Temperature - 00011,20.9,C,,-35,C,-35,C,URIWW,2550: Temperature of Water by Thermometer,,,NR 03 - Lower Pond A,PE,C.Wakefield,,,,
WW89,5/13/16,9:30:00 AM,Grab,Water,0.1,Temperature - 00011,17.5,C,,-35,C,-35,C,URIWW,2550: Temperature of Water by Thermometer,,,NR 03 - Lower Pond A,PE,C.Wakefield,,,,
WW89,5/13/16,9:30:00 AM,Grab,Water,0.5,Temperature - 00011,17,C,,-35,C,-35,C,URIWW,2550: Temperature of Water by Thermometer,,,NR 03 - Lower Pond A,PE,C.Wakefield,,,,
WW89,5/13/16,9:30:00 AM,Grab,Water,3,Temperature - 00011,15,C,,-35,C,-35,C,URIWW,2550: Temperature of Water by Thermometer,,,NR 03 - Lower Pond A,PE,C.Wakefield,,,,
WW89,5/28/16,8:00:00 AM,Grab,Water,0.1,Temperature - 00011,21.9,C,,-35,C,-35,C,URIWW,,2550: Temperature of Water by Thermometer,Volunteer questioned shallow DO6,NR 03 - Lower Pond A,PE,C.Wakefield,,,,
WW89,5/28/16,8:00:00 AM,Grab,Water,0.5,Temperature - 00011,21.9,C,,-35,C,-35,C,URIWW,,2550: Temperature of Water by Thermometer,Volunteer questioned shallow DO7,NR 03 - Lower Pond A,PE,C.Wakefield,,,,
WW89,5/28/16,8:00:00 AM,Grab,Water,3,Temperature - 00011,18.7,C,,-35,C,-35,C,URIWW,,2550: Temperature of Water by Thermometer,Volunteer questioned shallow DO8,NR 03 - Lower Pond A,PE,C.Wakefield,,,,
WW89,7/9/16,9:45:00 AM,Grab,Water,0.1,Temperature - 00011,24.4,C,,-35,C,-35,C,URIWW,,2550: Temperature of Water by Thermometer,,NR 03 - Lower Pond A,PE,C.Wakefield,,,,
WW89,7/9/16,9:45:00 AM,Grab,Water,0.5,Temperature - 00011,24.4,C,,-35,C,-35,C,URIWW,,2550: Temperature of Water by Thermometer,,NR 03 - Lower Pond A,PE,C.Wakefield,,,,
WW89,7/9/16,9:45:00 AM,Grab,Water,3,Temperature - 00011,24.35,C,,-35,C,-35,C,URIWW,,2550: Temperature of Water by Thermometer,,NR 03 - Lower Pond A,PE,C.Wakefield,,,,
WW89,7/21/16,8:00:00 AM,Grab,Water,0.1,Temperature - 00011,26.7,C,,-35,C,-35,C,URIWW,,2550: Temperature of Water by Thermometer,,NR 03 - Lower Pond A,PE,C.Wakefield,,,,
WW89,7/21/16,8:00:00 AM,Grab,Water,0.5,Temperature - 00011,26.9,C,,-35,C,-35,C,URIWW,,2550: Temperature of Water by Thermometer,,NR 03 - Lower Pond A,PE,C.Wakefield,,,,
WW89,7/21/16,8:00:00 AM,Grab,Water,3,Temperature - 00011,25.8,C,,-35,C,-35,C,URIWW,,2550: Temperature of Water by Thermometer,,NR 03 - Lower Pond A,PE,C.Wakefield,,,,
WW89,8/7/16,1:55:00 PM,Grab,Water,0.1,Temperature - 00011,27.7,C,,-35,C,-35,C,URIWW,,2550: Temperature of Water by Thermometer,State of tide: Ebb,NR 03 - Lower Pond A,PE,Eric Kohlsaat,Jennifer Kohlsaat,,,
WW89,8/7/16,1:55:00 PM,Grab,Water,0.5,Temperature - 00011,27.7,C,,-35,C,-35,C,URIWW,,2550: Temperature of Water by Thermometer,State of tide: Ebb,NR 03 - Lower Pond A,PE,Eric Kohlsaat,Jennifer Kohlsaat,,,
WW89,8/7/16,1:55:00 PM,Grab,Water,3,Temperature - 00011,27.9,C,,-35,C,-35,C,URIWW,,2550: Temperature of Water by Thermometer,State of tide: Ebb,NR 03 - Lower Pond A,PE,Eric Kohlsaat,Jennifer Kohlsaat,,,
WW89,8/21/16,12:12:00 PM,Grab,Water,0.5,Temperature - 00011,29.5,C,,-35,C,-35,C,URIWW,2550: Temperature of Water by Thermometer,,State of tide: Ebb,NR 03 - Lower Pond A,PE,Eric Kohlsaat,Jennifer Kohlsaat,,,
WW89,8/21/16,12:12:00 PM,Grab,Water,3,Temperature - 00011,28.2,C,,-35,C,-35,C,URIWW,2550: Temperature of Water by Thermometer,,State of tide: Ebb,NR 03 - Lower Pond A,PE,Eric Kohlsaat,Jennifer Kohlsaat,,,
WW89,8/28/16,11:30:00 AM,Grab,Water,0.1,Temperature - 00011,28.8,C,,-35,C,-35,C,URIWW,2550: Temperature of Water by Thermometer,,State of tide: Flood,NR 03 - Lower Pond A,PE,Eric Kohlsaat,Jennifer Kohlsaat,,,
WW89,8/28/16,11:30:00 AM,Grab,Water,0.5,Temperature - 00011,28.8,C,,-35,C,-35,C,URIWW,2550: Temperature of Water by Thermometer,,State of tide: Flood,NR 03 - Lower Pond A,PE,Eric Kohlsaat,Jennifer Kohlsaat,,,
WW89,9/10/16,8:00:00 AM,Grab,Water,0.1,Temperature - 00011,24.8,C,,-35,C,-35,C,URIWW,,,,,,,NR 03 - Lower Pond A,PE,C.Wakefield,
WW89,9/10/16,8:00:00 AM,Grab,Water,0.5,Temperature - 00011,25.5,C,,-35,C,-35,C,URIWW,,,,,,,NR 03 - Lower Pond A,PE,C.Wakefield,
WW89,9/10/16,8:00:00 AM,Grab,Water,3,Temperature - 00011,23,C,,-35,C,-35,C,URIWW,,,,,,,NR 03 - Lower Pond A,PE,C.Wakefield,
WW89,9/23/16,8:45:00 AM,Grab,Water,0.1,Temperature - 00011,22.5,C,,-35,C,-35,C,URIWW,,,,,,,NR 03 - Lower Pond A,PE,C.Wakefield,
WW89,9/23/16,8:45:00 AM,Grab,Water,0.5,Temperature - 00011,22.7,C,,-35,C,-35,C,URIWW,,,,,,,NR 03 - Lower Pond A,PE,C.Wakefield,
WW89,9/23/16,8:45:00 AM,Grab,Water,3,Temperature - 00011,22.8,C,,-35,C,-35,C,URIWW,,,,,,,NR 03 - Lower Pond A,PE,C.Wakefield,
WW89,10/9/16,9:30:00 AM,Grab,Water,0.1,Temperature - 00011,18.2,C,,-35,C,-35,C,URIWW,,,,,,,NR 03 - Lower Pond A,PE,C.Wakefield,
WW89,10/9/16,9:30:00 AM,Grab,Water,0.5,Temperature - 00011,18.2,C,,-35,C,-35,C,URIWW,,,,,,,NR 03 - Lower Pond A,PE,C.Wakefield,
WW89,10/9/16,9:30:00 AM,Grab,Water,3,Temperature - 00011,18.5,C,,-35,C,-35,C,URIWW,,,,,,,NR 03 - Lower Pond A,PE,C.Wakefield,
WW89,10/21/16,9:15:00 AM,Grab,Water,0.1,Temperature - 00011,18.7,C,,-35,C,-35,C,URIWW,2550: Temperature of Water by Thermometer,,,NR 03 - Lower Pond A,PE,C.Wakefield,,,,
WW89,10/21/16,9:15:00 AM,Grab,Water,0.5,Temperature - 00011,18.7,C,,-35,C,-35,C,URIWW,2550: Temperature of Water by Thermometer,,,NR 03 - Lower Pond A,PE,C.Wakefield,,,,
WW89,10/21/16,9:15:00 AM,Grab,Water,3,Temperature - 00011,17.6,C,,-35,C,-35,C,URIWW,2550: Temperature of Water by Thermometer,,,NR 03 - Lower Pond A,PE,C.Wakefield,,,,
WW91,5/14/16,9:45:00 AM,Grab,Water,0.5,Temperature - 00011,18,C,,-35,C,-35,C,URIWW,2550: Temperature of Water by Thermometer,,,NR 04 - Lower Pond B,PE,Carol Sarubbi,Felix Sarubbi,,,
WW91,5/14/16,9:45:00 AM,Grab,Water,3,Temperature - 00011,15,C,,-35,C,-35,C,URIWW,2550: Temperature of Water by Thermometer,,,NR 04 - Lower Pond B,PE,Carol Sarubbi,Felix Sarubbi,,,
WW91,5/29/16,10:45:00 AM,Grab,Water,0.5,Temperature - 00011,24.5,C,,-35,C,-35,C,URIWW,2550: Temperature of Water by Thermometer,,,NR 04 - Lower Pond B,PE,Carol Sarubbi,Felix Sarubbi,,,
