OBJECTID,WW_ID,Date_of_Sample,,Depth,Parameter__,Concentration,Unit
14873,WW89,5/13/17,00:00:00+00,0.5,"Salinity, (ppt) - 00480",6,ppt
14874,WW89,5/13/17,00:00:00+00,3,"Salinity, (ppt) - 00480",16,ppt
14875,WW91,5/13/17,00:00:00+00,0.5,"Salinity, (ppt) - 00480",6,ppt
14876,WW91,5/13/17,00:00:00+00,3,"Salinity, (ppt) - 00480",15,ppt
14940,WW89,5/27/17,00:00:00+00,0.5,"Salinity, (ppt) - 00480",10,ppt
14941,WW89,5/27/17,00:00:00+00,3,"Salinity, (ppt) - 00480",15,ppt
14942,WW91,5/27/17,00:00:00+00,0.5,"Salinity, (ppt) - 00480",8.5,ppt
14943,WW91,5/27/17,00:00:00+00,3,"Salinity, (ppt) - 00480",14,ppt
15036,WW89,6/10/17,00:00:00+00,0.5,"Salinity, (ppt) - 00480",9,ppt
15037,WW89,6/10/17,00:00:00+00,3,"Salinity, (ppt) - 00480",16,ppt
15038,WW91,6/10/17,00:00:00+00,0.5,"Salinity, (ppt) - 00480",10,ppt
15039,WW91,6/10/17,00:00:00+00,3,"Salinity, (ppt) - 00480",14,ppt
15097,WW89,6/16/17,00:00:00+00,0.5,"Salinity, (ppt) - 00480",10,ppt
15098,WW89,6/16/17,00:00:00+00,3,"Salinity, (ppt) - 00480",13,ppt
15099,WW91,6/16/17,00:00:00+00,0.5,"Salinity, (ppt) - 00480",10,ppt
15100,WW91,6/16/17,00:00:00+00,3,"Salinity, (ppt) - 00480",14.5,ppt
15229,WW89,7/1/17,00:00:00+00,0.5,"Salinity, (ppt) - 00480",11.5,ppt
15230,WW89,7/1/17,00:00:00+00,3,"Salinity, (ppt) - 00480",16,ppt
15231,WW91,7/1/17,00:00:00+00,0.5,"Salinity, (ppt) - 00480",13,ppt
15232,WW91,7/1/17,00:00:00+00,3,"Salinity, (ppt) - 00480",16.5,ppt
15297,WW89,7/13/17,00:00:00+00,0.5,"Salinity, (ppt) - 00480",13.5,ppt
15298,WW89,7/13/17,00:00:00+00,3,"Salinity, (ppt) - 00480",15.5,ppt
15324,WW91,7/15/17,00:00:00+00,0.5,"Salinity, (ppt) - 00480",12,ppt
15325,WW91,7/15/17,00:00:00+00,3,"Salinity, (ppt) - 00480",15.5,ppt
15389,WW89,7/28/17,00:00:00+00,0.5,"Salinity, (ppt) - 00480",15,ppt
15390,WW89,7/28/17,00:00:00+00,3,"Salinity, (ppt) - 00480",18,ppt
15412,WW91,7/29/17,00:00:00+00,0.5,"Salinity, (ppt) - 00480",16,ppt
15413,WW91,7/29/17,00:00:00+00,3,"Salinity, (ppt) - 00480",15.5,ppt
15492,WW91,8/11/17,00:00:00+00,0.5,"Salinity, (ppt) - 00480",15.5,ppt
15493,WW91,8/11/17,00:00:00+00,3,"Salinity, (ppt) - 00480",18.3,ppt
15517,WW89,8/13/17,00:00:00+00,0.5,"Salinity, (ppt) - 00480",15,ppt
15518,WW89,8/13/17,00:00:00+00,3,"Salinity, (ppt) - 00480",19.5,ppt
15609,WW91,8/26/17,00:00:00+00,0.5,"Salinity, (ppt) - 00480",19.5,ppt
15610,WW91,8/26/17,00:00:00+00,3,"Salinity, (ppt) - 00480",21,ppt
15671,WW89,9/8/17,00:00:00+00,0.5,"Salinity, (ppt) - 00480",18.5,ppt
15672,WW89,9/8/17,00:00:00+00,3,"Salinity, (ppt) - 00480",21.5,ppt
15692,WW91,9/9/17,00:00:00+00,0.5,"Salinity, (ppt) - 00480",18.5,ppt
15693,WW91,9/9/17,00:00:00+00,3,"Salinity, (ppt) - 00480",21,ppt
15771,WW89,9/23/17,00:00:00+00,0.5,"Salinity, (ppt) - 00480",22,ppt
15772,WW89,9/23/17,00:00:00+00,3,"Salinity, (ppt) - 00480",21.75,ppt
15773,WW91,9/23/17,00:00:00+00,0.5,"Salinity, (ppt) - 00480",22,ppt
15774,WW91,9/23/17,00:00:00+00,3,"Salinity, (ppt) - 00480",22.5,ppt
15860,WW89,10/6/17,00:00:00+00,0.5,"Salinity, (ppt) - 00480",21,ppt
15861,WW89,10/6/17,00:00:00+00,3,"Salinity, (ppt) - 00480",23,ppt
15879,WW91,10/7/17,00:00:00+00,0.5,"Salinity, (ppt) - 00480",20.5,ppt
15880,WW91,10/7/17,00:00:00+00,3,"Salinity, (ppt) - 00480",22,ppt
15892,WW89,10/13/17,00:00:00+00,0.5,"Salinity, (ppt) - 00480",20.5,ppt
15893,WW89,10/13/17,00:00:00+00,3,"Salinity, (ppt) - 00480",21.5,ppt
15894,WW91,10/13/17,00:00:00+00,0.5,"Salinity, (ppt) - 00480",20,ppt
15895,WW91,10/13/17,00:00:00+00,3,"Salinity, (ppt) - 00480",20,ppt
