OBJECTID,WW_ID,Date_of_Sample,,Depth,Parameter__,Concentration,Unit
17264,WW89,5/13/17,00:00:00+00,0.1,Temperature - 00011,14.16,C
17265,WW89,5/13/17,00:00:00+00,0.5,Temperature - 00011,14.16,C
17266,WW89,5/13/17,00:00:00+00,3,Temperature - 00011,11.66,C
17267,WW91,5/13/17,00:00:00+00,0.5,Temperature - 00011,14,C
17268,WW91,5/13/17,00:00:00+00,3,Temperature - 00011,12.5,C
17527,WW89,5/27/17,00:00:00+00,0.1,Temperature - 00011,16.5,C
17528,WW89,5/27/17,00:00:00+00,0.5,Temperature - 00011,16.7,C
17529,WW89,5/27/17,00:00:00+00,3,Temperature - 00011,15.15,C
17530,WW91,5/27/17,00:00:00+00,0.5,Temperature - 00011,17,C
17531,WW91,5/27/17,00:00:00+00,3,Temperature - 00011,15.5,C
17857,WW89,6/10/17,00:00:00+00,0.1,Temperature - 00011,20,C
17858,WW89,6/10/17,00:00:00+00,0.5,Temperature - 00011,19.7,C
17859,WW89,6/10/17,00:00:00+00,3,Temperature - 00011,15,C
17860,WW91,6/10/17,00:00:00+00,0.5,Temperature - 00011,20,C
17861,WW91,6/10/17,00:00:00+00,3,Temperature - 00011,17,C
18017,WW89,6/16/17,00:00:00+00,0.1,Temperature - 00011,23.4,C
18018,WW89,6/16/17,00:00:00+00,0.5,Temperature - 00011,23.4,C
18019,WW89,6/16/17,00:00:00+00,3,Temperature - 00011,15.6,C
18020,WW91,6/16/17,00:00:00+00,0.5,Temperature - 00011,21,C
18021,WW91,6/16/17,00:00:00+00,3,Temperature - 00011,19,C
18403,WW89,7/1/17,00:00:00+00,0.1,Temperature - 00011,23.3,C
18404,WW89,7/1/17,00:00:00+00,0.5,Temperature - 00011,23.1,C
18405,WW89,7/1/17,00:00:00+00,3,Temperature - 00011,20.5,C
18406,WW91,7/1/17,00:00:00+00,0.5,Temperature - 00011,24,C
18407,WW91,7/1/17,00:00:00+00,3,Temperature - 00011,21.5,C
18644,WW89,7/13/17,00:00:00+00,0.1,Temperature - 00011,26.5,C
18645,WW89,7/13/17,00:00:00+00,0.5,Temperature - 00011,27,C
18646,WW89,7/13/17,00:00:00+00,3,Temperature - 00011,22.65,C
18781,WW91,7/15/17,00:00:00+00,0.5,Temperature - 00011,22.5,C
18782,WW91,7/15/17,00:00:00+00,3,Temperature - 00011,22.5,C
19001,WW89,7/28/17,00:00:00+00,0.1,Temperature - 00011,24,C
19002,WW89,7/28/17,00:00:00+00,0.5,Temperature - 00011,23.5,C
19003,WW89,7/28/17,00:00:00+00,3,Temperature - 00011,23.1,C
19057,WW91,7/29/17,00:00:00+00,0.5,Temperature - 00011,23,C
19058,WW91,7/29/17,00:00:00+00,3,Temperature - 00011,23,C
19343,WW91,8/11/17,00:00:00+00,0.5,Temperature - 00011,24,C
19344,WW91,8/11/17,00:00:00+00,3,Temperature - 00011,23.5,C
19427,WW89,8/13/17,00:00:00+00,0.1,Temperature - 00011,26.2,C
19428,WW89,8/13/17,00:00:00+00,0.5,Temperature - 00011,26.1,C
19429,WW89,8/13/17,00:00:00+00,3,Temperature - 00011,24.7,C
19748,WW89,8/26/17,00:00:00+00,0.1,Temperature - 00011,26.1,C
19749,WW89,8/26/17,00:00:00+00,0.5,Temperature - 00011,26.1,C
19750,WW89,8/26/17,00:00:00+00,3,Temperature - 00011,24.5,C
19751,WW91,8/26/17,00:00:00+00,0.5,Temperature - 00011,23.5,C
19752,WW91,8/26/17,00:00:00+00,3,Temperature - 00011,24.5,C
19956,WW89,9/8/17,00:00:00+00,0.1,Temperature - 00011,20.5,C
19957,WW89,9/8/17,00:00:00+00,0.5,Temperature - 00011,20.6,C
19958,WW89,9/8/17,00:00:00+00,3,Temperature - 00011,21,C
20303,WW89,9/23/17,00:00:00+00,0.1,Temperature - 00011,18.5,C
20304,WW89,9/23/17,00:00:00+00,0.5,Temperature - 00011,18.4,C
20305,WW89,9/23/17,00:00:00+00,3,Temperature - 00011,18.4,C
20306,WW91,9/23/17,00:00:00+00,0.5,Temperature - 00011,18.5,C
20307,WW91,9/23/17,00:00:00+00,3,Temperature - 00011,18.5,C
20537,WW89,10/6/17,00:00:00+00,0.1,Temperature - 00011,20.4,C
20538,WW89,10/6/17,00:00:00+00,0.5,Temperature - 00011,20.1,C
20539,WW89,10/6/17,00:00:00+00,3,Temperature - 00011,19,C
20687,WW89,10/13/17,00:00:00+00,0.1,Temperature - 00011,17.9,C
20688,WW89,10/13/17,00:00:00+00,0.5,Temperature - 00011,17.6,C
20689,WW89,10/13/17,00:00:00+00,3,Temperature - 00011,18.6,C
20690,WW91,10/13/17,00:00:00+00,0.5,Temperature - 00011,17,C
20691,WW91,10/13/17,00:00:00+00,3,Temperature - 00011,18,C
