OBJECTID,Station_Name,Depth,Parameter,Concentration,Unit,Monitoring_Location,Date_of_Sample,
16425,WW89,0.5,"Salinity, (ppt) - 00480",9,ppt,,5/4/18,00:00:00+00
16426,WW89,3,"Salinity, (ppt) - 00480",16.5,ppt,,5/4/18,00:00:00+00
16433,WW89,0.5,"Salinity, (ppt) - 00480",13,ppt,,5/18/18,00:00:00+00
16434,WW89,3,"Salinity, (ppt) - 00480",18,ppt,,5/18/18,00:00:00+00
16441,WW89,0.5,"Salinity, (ppt) - 00480",10,ppt,,6/2/18,00:00:00+00
16442,WW89,3,"Salinity, (ppt) - 00480",12.5,ppt,,6/2/18,00:00:00+00
16461,WW89,0.5,"Salinity, (ppt) - 00480",11,ppt,,6/9/18,00:00:00+00
16462,WW89,3,"Salinity, (ppt) - 00480",14,ppt,,6/9/18,00:00:00+00
16469,WW89,0.5,"Salinity, (ppt) - 00480",12.5,ppt,,6/24/18,00:00:00+00
16470,WW89,,"Salinity, (ppt) - 00480",15,ppt,,6/24/18,00:00:00+00
16491,WW89,0.5,"Salinity, (ppt) - 00480",15,ppt,,7/29/18,00:00:00+00
16492,WW89,3,"Salinity, (ppt) - 00480",17,ppt,,7/29/18,00:00:00+00
16512,WW89,0.5,"Salinity, (ppt) - 00480",15.5,ppt,,8/18/18,00:00:00+00
16513,WW89,3,"Salinity, (ppt) - 00480",18.5,ppt,,8/18/18,00:00:00+00
16521,WW89,3,"Salinity, (ppt) - 00480",20,ppt,,9/2/18,00:00:00+00
16540,WW89,0.5,"Salinity, (ppt) - 00480",20,ppt,,9/15/18,00:00:00+00
16541,WW89,3,"Salinity, (ppt) - 00480",22.5,ppt,,9/15/18,00:00:00+00
16548,WW89,0.5,"Salinity, (ppt) - 00480",20,ppt,,9/29/18,00:00:00+00
16549,WW89,3,"Salinity, (ppt) - 00480",22.5,ppt,,9/29/18,00:00:00+00
16568,WW89,0.5,"Salinity, (ppt) - 00480",16,ppt,,10/19/18,00:00:00+00
16569,WW89,3,"Salinity, (ppt) - 00480",20,ppt,,10/19/18,00:00:00+00
16573,WW91,,"Salinity, (ppt) - 00480",9,ppt,,4/21/18,00:00:00+00
16589,WW91,0.5,"Salinity, (ppt) - 00480",10,ppt,,5/5/18,00:00:00+00
16595,WW91,0.5,"Salinity, (ppt) - 00480",11,ppt,,5/18/18,00:00:00+00
16596,WW91,3,"Salinity, (ppt) - 00480",16,ppt,,5/18/18,00:00:00+00
16603,WW91,0.5,"Salinity, (ppt) - 00480",9.5,ppt,,6/2/18,00:00:00+00
16623,WW91,0.5,"Salinity, (ppt) - 00480",11,ppt,,6/9/18,00:00:00+00
16624,WW91,3,"Salinity, (ppt) - 00480",15,ppt,,6/9/18,00:00:00+00
16631,WW91,0.5,"Salinity, (ppt) - 00480",12,ppt,,6/23/18,00:00:00+00
16632,WW91,3,"Salinity, (ppt) - 00480",15,ppt,,6/23/18,00:00:00+00
16638,WW91,0.5,"Salinity, (ppt) - 00480",12,ppt,,7/7/18,00:00:00+00
16639,WW91,3,"Salinity, (ppt) - 00480",15,ppt,,7/7/18,00:00:00+00
16657,WW91,0.5,"Salinity, (ppt) - 00480",13,ppt,,7/13/18,00:00:00+00
16664,WW91,0.5,"Salinity, (ppt) - 00480",14.5,ppt,,7/27/18,00:00:00+00
16665,WW91,3,"Salinity, (ppt) - 00480",18,ppt,,7/27/18,00:00:00+00
16672,WW91,0.5,"Salinity, (ppt) - 00480",15,ppt,,8/11/18,00:00:00+00
16673,WW91,3,"Salinity, (ppt) - 00480",20,ppt,,8/11/18,00:00:00+00
16692,WW91,0.5,"Salinity, (ppt) - 00480",15.5,ppt,,8/18/18,00:00:00+00
16693,WW91,3,"Salinity, (ppt) - 00480",20,ppt,,8/18/18,00:00:00+00
16700,WW91,0.5,"Salinity, (ppt) - 00480",19,ppt,,9/1/18,00:00:00+00
16701,WW91,3,"Salinity, (ppt) - 00480",20,ppt,,9/1/18,00:00:00+00
16720,WW91,0.5,"Salinity, (ppt) - 00480",20,ppt,,9/15/18,00:00:00+00
16721,WW91,3,"Salinity, (ppt) - 00480",23,ppt,,9/15/18,00:00:00+00
16726,WW91,0.5,"Salinity, (ppt) - 00480",20,ppt,,9/29/18,00:00:00+00
16727,WW91,3,"Salinity, (ppt) - 00480",22,ppt,,9/29/18,00:00:00+00
16733,WW91,0.5,"Salinity, (ppt) - 00480",18.5,ppt,,10/6/18,00:00:00+00
16744,WW91,0.5,"Salinity, (ppt) - 00480",16,ppt,,10/18/18,00:00:00+00
