OBJECTID,Station_Name,Depth,Parameter,Concentration,Unit,Monitoring_Location,Date_of_Sample
1,WW01,1,Alkalinity - 00410,5.46,mg/l,Alton Pond,2019/05/09 00:00:00+00
2,WW01,1,Chloride - 00940,37,mg/l,Alton Pond,2019/05/09 00:00:00+00
3,WW01,1,"Chlorophyll a, water, fluorometric method, corrected for pheophytin - 32209",0.7,ug/l,Alton Pond,2019/05/09 00:00:00+00
4,WW01,,"Depth to bottom from water surface at sampling location, meters - 82903",3.9,m,Alton Pond,2019/05/09 00:00:00+00
5,WW01,0.5,Enterococci - 31639,1,MPN/100,Alton Pond,2019/05/09 00:00:00+00
6,WW01,1,"Nitrate + Nitrite, Dissolved - 00631",0.15,mg/l,Alton Pond,2019/05/09 00:00:00+00
7,WW01,1,"Nitrogen, Ammonia Dissolved as N - 00608",0.04,mg/l,Alton Pond,2019/05/09 00:00:00+00
8,WW01,1,"Nitrogen, Total (unfiltered) - 00600",0.42,mg/l,Alton Pond,2019/05/09 00:00:00+00
9,WW01,1,pH - 00400,6.28,S.U.,Alton Pond,2019/05/09 00:00:00+00
10,WW01,1,"Phosphorus, Dissolved - 00666",8,ug/l,Alton Pond,2019/05/09 00:00:00+00
11,WW01,1,"Phosphorus, Total - 00665",19,ug/l,Alton Pond,2019/05/09 00:00:00+00
12,WW01,,Secchi Depth - 00069,1.88,m,Alton Pond,2019/05/09 00:00:00+00
13,WW01,0.1,Temperature - 00011,14.8,C,Alton Pond,2019/05/09 00:00:00+00
14,WW01,1,Temperature - 00011,14.8,C,Alton Pond,2019/05/09 00:00:00+00
15,WW01,,"Depth to bottom from water surface at sampling location, meters - 82903",3.7,m,Alton Pond,2019/05/18 00:00:00+00
16,WW01,,Secchi Depth - 00069,2.45,m,Alton Pond,2019/05/18 00:00:00+00
17,WW01,0.1,Temperature - 00011,15.8,C,Alton Pond,2019/05/18 00:00:00+00
18,WW01,1,Temperature - 00011,17.7,C,Alton Pond,2019/05/18 00:00:00+00
19,WW01,1,"Chlorophyll a, water, fluorometric method, corrected for pheophytin - 32209",1.3,ug/l,Alton Pond,2019/05/24 00:00:00+00
20,WW01,,"Depth to bottom from water surface at sampling location, meters - 82903",3.9,m,Alton Pond,2019/05/24 00:00:00+00
21,WW01,,Secchi Depth - 00069,1.82,m,Alton Pond,2019/05/24 00:00:00+00
22,WW01,0.1,Temperature - 00011,17.5,C,Alton Pond,2019/05/24 00:00:00+00
23,WW01,1,Temperature - 00011,17.8,C,Alton Pond,2019/05/24 00:00:00+00
24,WW01,,"Depth to bottom from water surface at sampling location, meters - 82903",3.6,m,Alton Pond,2019/06/01 00:00:00+00
25,WW01,,Secchi Depth - 00069,1.9,m,Alton Pond,2019/06/01 00:00:00+00
26,WW01,0.1,Temperature - 00011,18.7,C,Alton Pond,2019/06/01 00:00:00+00
27,WW01,1,Temperature - 00011,19.9,C,Alton Pond,2019/06/01 00:00:00+00
28,WW01,,"Depth to bottom from water surface at sampling location, meters - 82903",3.5,m,Alton Pond,2019/06/08 00:00:00+00
29,WW01,,Secchi Depth - 00069,1.95,m,Alton Pond,2019/06/08 00:00:00+00
30,WW01,0.1,Temperature - 00011,23.1,C,Alton Pond,2019/06/08 00:00:00+00
31,WW01,1,Temperature - 00011,21.8,C,Alton Pond,2019/06/08 00:00:00+00
32,WW01,1,"Chlorophyll a, water, fluorometric method, corrected for pheophytin - 32209",0.8,ug/l,Alton Pond,2019/06/15 00:00:00+00
33,WW01,,"Depth to bottom from water surface at sampling location, meters - 82903",3.8,m,Alton Pond,2019/06/15 00:00:00+00
34,WW01,,Secchi Depth - 00069,1.93,m,Alton Pond,2019/06/15 00:00:00+00
35,WW01,0.1,Temperature - 00011,18.2,C,Alton Pond,2019/06/15 00:00:00+00
36,WW01,1,Temperature - 00011,19.1,C,Alton Pond,2019/06/15 00:00:00+00
37,WW01,1,"Chlorophyll a, water, fluorometric method, corrected for pheophytin - 32209",1,ug/l,Alton Pond,2019/06/22 00:00:00+00
38,WW01,,"Depth to bottom from water surface at sampling location, meters - 82903",3,m,Alton Pond,2019/06/22 00:00:00+00
39,WW01,,Secchi Depth - 00069,1.75,m,Alton Pond,2019/06/22 00:00:00+00
40,WW01,0.1,Temperature - 00011,19.7,C,Alton Pond,2019/06/22 00:00:00+00
41,WW01,1,Temperature - 00011,20.4,C,Alton Pond,2019/06/22 00:00:00+00
42,WW01,,"Depth to bottom from water surface at sampling location, meters - 82903",3.7,m,Alton Pond,2019/06/29 00:00:00+00
43,WW01,,Secchi Depth - 00069,2,m,Alton Pond,2019/06/29 00:00:00+00
44,WW01,0.1,Temperature - 00011,23.7,C,Alton Pond,2019/06/29 00:00:00+00
45,WW01,1,Temperature - 00011,24.5,C,Alton Pond,2019/06/29 00:00:00+00
46,WW01,1,"Chlorophyll a, water, fluorometric method, corrected for pheophytin - 32209",2.5,ug/l,Alton Pond,2019/07/06 00:00:00+00
47,WW01,,"Depth to bottom from water surface at sampling location, meters - 82903",3.6,m,Alton Pond,2019/07/06 00:00:00+00
48,WW01,,Secchi Depth - 00069,1.95,m,Alton Pond,2019/07/06 00:00:00+00
49,WW01,0.1,Temperature - 00011,25.3,C,Alton Pond,2019/07/06 00:00:00+00
50,WW01,1,Temperature - 00011,25.5,C,Alton Pond,2019/07/06 00:00:00+00
51,WW01,,"Depth to bottom from water surface at sampling location, meters - 82903",3.6,m,Alton Pond,2019/07/14 00:00:00+00
52,WW01,,Secchi Depth - 00069,1.8,m,Alton Pond,2019/07/14 00:00:00+00
53,WW01,0.1,Temperature - 00011,26.2,C,Alton Pond,2019/07/14 00:00:00+00
54,WW01,1,Temperature - 00011,25.7,C,Alton Pond,2019/07/14 00:00:00+00
55,WW01,1,Alkalinity - 00410,8.958,mg/l,Alton Pond,2019/07/20 00:00:00+00
56,WW01,1,"Chlorophyll a, water, fluorometric method, corrected for pheophytin - 32209",3,ug/l,Alton Pond,2019/07/20 00:00:00+00
57,WW01,,"Depth to bottom from water surface at sampling location, meters - 82903",3.7,m,Alton Pond,2019/07/20 00:00:00+00
58,WW01,0.5,Enterococci - 31639,43.5,MPN/100,Alton Pond,2019/07/20 00:00:00+00
59,WW01,1,"Nitrate + Nitrite, Dissolved - 00631",0.18,mg/l,Alton Pond,2019/07/20 00:00:00+00
60,WW01,1,"Nitrogen, Ammonia Dissolved as N - 00608",0.055,mg/l,Alton Pond,2019/07/20 00:00:00+00
61,WW01,1,"Nitrogen, Total (unfiltered) - 00600",0.55,mg/l,Alton Pond,2019/07/20 00:00:00+00
62,WW01,1,pH - 00400,7.38,S.U.,Alton Pond,2019/07/20 00:00:00+00
63,WW01,1,"Phosphorus, Dissolved - 00666",11,ug/l,Alton Pond,2019/07/20 00:00:00+00
64,WW01,1,"Phosphorus, Total - 00665",23,ug/l,Alton Pond,2019/07/20 00:00:00+00
65,WW01,,Secchi Depth - 00069,1.5,m,Alton Pond,2019/07/20 00:00:00+00
66,WW01,0.1,Temperature - 00011,24.8,C,Alton Pond,2019/07/20 00:00:00+00
67,WW01,1,Temperature - 00011,25,C,Alton Pond,2019/07/20 00:00:00+00
68,WW01,,"Depth to bottom from water surface at sampling location, meters - 82903",3.8,m,Alton Pond,2019/07/27 00:00:00+00
69,WW01,,Secchi Depth - 00069,1.55,m,Alton Pond,2019/07/27 00:00:00+00
70,WW01,0.1,Temperature - 00011,24,C,Alton Pond,2019/07/27 00:00:00+00
71,WW01,1,Temperature - 00011,23.5,C,Alton Pond,2019/07/27 00:00:00+00
72,WW01,1,"Chlorophyll a, water, fluorometric method, corrected for pheophytin - 32209",1.6,ug/l,Alton Pond,2019/08/03 00:00:00+00
73,WW01,,"Depth to bottom from water surface at sampling location, meters - 82903",3.5,m,Alton Pond,2019/08/03 00:00:00+00
74,WW01,,Secchi Depth - 00069,1.88,m,Alton Pond,2019/08/03 00:00:00+00
75,WW01,0.1,Temperature - 00011,24.3,C,Alton Pond,2019/08/03 00:00:00+00
76,WW01,1,Temperature - 00011,24.7,C,Alton Pond,2019/08/03 00:00:00+00
77,WW01,,"Depth to bottom from water surface at sampling location, meters - 82903",3.8,m,Alton Pond,2019/08/10 00:00:00+00
78,WW01,,Secchi Depth - 00069,2.35,m,Alton Pond,2019/08/10 00:00:00+00
79,WW01,0.1,Temperature - 00011,24.3,C,Alton Pond,2019/08/10 00:00:00+00
80,WW01,1,Temperature - 00011,23.7,C,Alton Pond,2019/08/10 00:00:00+00
81,WW01,1,"Chlorophyll a, water, fluorometric method, corrected for pheophytin - 32209",1,ug/l,Alton Pond,2019/08/17 00:00:00+00
82,WW01,,"Depth to bottom from water surface at sampling location, meters - 82903",3.5,m,Alton Pond,2019/08/17 00:00:00+00
83,WW01,,Secchi Depth - 00069,2.42,m,Alton Pond,2019/08/17 00:00:00+00
84,WW01,0.1,Temperature - 00011,23.4,C,Alton Pond,2019/08/17 00:00:00+00
85,WW01,1,Temperature - 00011,22.9,C,Alton Pond,2019/08/17 00:00:00+00
86,WW01,1,"Chlorophyll a, water, fluorometric method, corrected for pheophytin - 32209",1.3,ug/l,Alton Pond,2019/08/24 00:00:00+00
