OBJECTID,Station_Name,Depth,Parameter,Concentration,Unit,Monitoring_Location,Date_of_Sample,
18951,WW89,3,Temperature - 00011,14,C,Narrow River 03 - Lower Pond A,5/11/19,00:00:00+00
18997,WW89,0.5,Temperature - 00011,21.5,C,Narrow River 03 - Lower Pond A,6/8/19,00:00:00+00
18998,WW89,3,Temperature - 00011,18.8,C,Narrow River 03 - Lower Pond A,6/8/19,00:00:00+00
19007,WW89,0.5,Temperature - 00011,21.5,C,Narrow River 03 - Lower Pond A,6/23/19,00:00:00+00
19008,WW89,3,Temperature - 00011,19.5,C,Narrow River 03 - Lower Pond A,6/23/19,00:00:00+00
19017,WW89,0.5,Temperature - 00011,25,C,Narrow River 03 - Lower Pond A,7/10/19,00:00:00+00
19018,WW89,3,Temperature - 00011,23,C,Narrow River 03 - Lower Pond A,7/10/19,00:00:00+00
19041,WW89,0.5,Temperature - 00011,27.9,C,Narrow River 03 - Lower Pond A,7/20/19,00:00:00+00
19042,WW89,3,Temperature - 00011,25.3,C,Narrow River 03 - Lower Pond A,7/20/19,00:00:00+00
19050,WW89,0.5,Temperature - 00011,29.3,C,Narrow River 03 - Lower Pond A,8/4/19,00:00:00+00
19051,WW89,3,Temperature - 00011,28.2,C,Narrow River 03 - Lower Pond A,8/4/19,00:00:00+00
19073,WW89,0.1,Temperature - 00011,25.9,C,Narrow River 03 - Lower Pond A,8/17/19,00:00:00+00
19074,WW89,0.5,Temperature - 00011,25.9,C,Narrow River 03 - Lower Pond A,8/17/19,00:00:00+00
19075,WW89,3,Temperature - 00011,25.5,C,Narrow River 03 - Lower Pond A,8/17/19,00:00:00+00
19083,WW89,0.1,Temperature - 00011,24,C,Narrow River 03 - Lower Pond A,9/1/19,00:00:00+00
19084,WW89,0.5,Temperature - 00011,24,C,Narrow River 03 - Lower Pond A,9/1/19,00:00:00+00
19085,WW89,3,Temperature - 00011,24,C,Narrow River 03 - Lower Pond A,9/1/19,00:00:00+00
19094,WW89,0.1,Temperature - 00011,20.4,C,Narrow River 03 - Lower Pond A,9/14/19,00:00:00+00
19095,WW89,0.5,Temperature - 00011,20.7,C,Narrow River 03 - Lower Pond A,9/14/19,00:00:00+00
19096,WW89,3,Temperature - 00011,21,C,Narrow River 03 - Lower Pond A,9/14/19,00:00:00+00
19119,WW89,0.1,Temperature - 00011,18.5,C,Narrow River 03 - Lower Pond A,9/21/19,00:00:00+00
19120,WW89,0.5,Temperature - 00011,19.2,C,Narrow River 03 - Lower Pond A,9/21/19,00:00:00+00
19121,WW89,3,Temperature - 00011,19.4,C,Narrow River 03 - Lower Pond A,9/21/19,00:00:00+00
19134,WW89,0.1,Temperature - 00011,18.2,C,Narrow River 03 - Lower Pond A,10/5/19,00:00:00+00
19135,WW89,0.5,Temperature - 00011,17.5,C,Narrow River 03 - Lower Pond A,10/5/19,00:00:00+00
19136,WW89,3,Temperature - 00011,17.6,C,Narrow River 03 - Lower Pond A,10/5/19,00:00:00+00
19159,WW89,0.1,Temperature - 00011,13.6,C,Narrow River 03 - Lower Pond A,10/19/19,00:00:00+00
19160,WW89,0.5,Temperature - 00011,13.9,C,Narrow River 03 - Lower Pond A,10/19/19,00:00:00+00
19161,WW89,3,Temperature - 00011,14.9,C,Narrow River 03 - Lower Pond A,10/19/19,00:00:00+00
19179,WW91,0.5,Temperature - 00011,13,C,Narrow River 04 - Lower Pond B,5/10/19,00:00:00+00
19180,WW91,3,Temperature - 00011,15,C,Narrow River 04 - Lower Pond B,5/10/19,00:00:00+00
19186,WW91,0.5,Temperature - 00011,18.5,C,Narrow River 04 - Lower Pond B,5/24/19,00:00:00+00
19187,WW91,3,Temperature - 00011,16,C,Narrow River 04 - Lower Pond B,5/24/19,00:00:00+00
19207,WW91,0.5,Temperature - 00011,22,C,Narrow River 04 - Lower Pond B,6/8/19,00:00:00+00
19208,WW91,3,Temperature - 00011,19,C,Narrow River 04 - Lower Pond B,6/8/19,00:00:00+00
19215,WW91,0.5,Temperature - 00011,25,C,Narrow River 04 - Lower Pond B,7/8/19,00:00:00+00
19216,WW91,3,Temperature - 00011,23,C,Narrow River 04 - Lower Pond B,7/8/19,00:00:00+00
19237,WW91,0.5,Temperature - 00011,25,C,Narrow River 04 - Lower Pond B,7/19/19,00:00:00+00
19238,WW91,3,Temperature - 00011,24.5,C,Narrow River 04 - Lower Pond B,7/19/19,00:00:00+00
19243,WW91,0.5,Temperature - 00011,26,C,Narrow River 04 - Lower Pond B,8/2/19,00:00:00+00
19244,WW91,3,Temperature - 00011,26,C,Narrow River 04 - Lower Pond B,8/2/19,00:00:00+00
19263,WW91,0.5,Temperature - 00011,25,C,Narrow River 04 - Lower Pond B,8/16/19,00:00:00+00
19264,WW91,3,Temperature - 00011,25,C,Narrow River 04 - Lower Pond B,8/16/19,00:00:00+00
19269,WW91,0.5,Temperature - 00011,25,C,Narrow River 04 - Lower Pond B,8/29/19,00:00:00+00
19270,WW91,3,Temperature - 00011,24,C,Narrow River 04 - Lower Pond B,8/29/19,00:00:00+00
19277,WW91,0.5,Temperature - 00011,20,C,Narrow River 04 - Lower Pond B,9/14/19,00:00:00+00
