OBJECTID_1,Station Name,Date,Parameter,Concentration,Unit,Comments,Monitoring location,Watershed,Town,WB_Type,MonitoringGroup,OBJECTID,WW_StaNumb,WW_Station,Site_DESCR,ProjID,Ord_Id
15287,WW089,6/8/20,"Salinity, (ppt) - 00480",16,ppt,,Narrow River 03 - Lower Pond A,Narragansett Bay,North Kingstown,Estuary,NRPA,44,89,WW089,Narrow River 03 - Lower Pond A,12,NRPA
15288,WW089,6/8/20,"Salinity, (ppt) - 00480",19.5,ppt,,Narrow River 03 - Lower Pond A,Narragansett Bay,North Kingstown,Estuary,NRPA,44,89,WW089,Narrow River 03 - Lower Pond A,12,NRPA
15312,WW089,6/13/20,"Salinity, (ppt) - 00480",24,ppt,,Narrow River 03 - Lower Pond A,Narragansett Bay,North Kingstown,Estuary,NRPA,44,89,WW089,Narrow River 03 - Lower Pond A,12,NRPA
15313,WW089,6/13/20,"Salinity, (ppt) - 00480",26,ppt,,Narrow River 03 - Lower Pond A,Narragansett Bay,North Kingstown,Estuary,NRPA,44,89,WW089,Narrow River 03 - Lower Pond A,12,NRPA
15323,WW089,6/26/20,"Salinity, (ppt) - 00480",17.5,ppt,,Narrow River 03 - Lower Pond A,Narragansett Bay,North Kingstown,Estuary,NRPA,44,89,WW089,Narrow River 03 - Lower Pond A,12,NRPA
15324,WW089,6/26/20,"Salinity, (ppt) - 00480",20,ppt,,Narrow River 03 - Lower Pond A,Narragansett Bay,North Kingstown,Estuary,NRPA,44,89,WW089,Narrow River 03 - Lower Pond A,12,NRPA
15348,WW089,7/9/20,"Salinity, (ppt) - 00480",14,ppt,,Narrow River 03 - Lower Pond A,Narragansett Bay,North Kingstown,Estuary,NRPA,44,89,WW089,Narrow River 03 - Lower Pond A,12,NRPA
15349,WW089,7/9/20,"Salinity, (ppt) - 00480",18,ppt,,Narrow River 03 - Lower Pond A,Narragansett Bay,North Kingstown,Estuary,NRPA,44,89,WW089,Narrow River 03 - Lower Pond A,12,NRPA
15350,WW089,7/9/20,"Salinity, (ppt) - 00480",18,ppt,,Narrow River 03 - Lower Pond A,Narragansett Bay,North Kingstown,Estuary,NRPA,44,89,WW089,Narrow River 03 - Lower Pond A,12,NRPA
15351,WW089,7/9/20,"Salinity, (ppt) - 00480",19.5,ppt,,Narrow River 03 - Lower Pond A,Narragansett Bay,North Kingstown,Estuary,NRPA,44,89,WW089,Narrow River 03 - Lower Pond A,12,NRPA
15359,WW089,7/30/20,"Salinity, (ppt) - 00480",18,ppt,,Narrow River 03 - Lower Pond A,Narragansett Bay,North Kingstown,Estuary,NRPA,44,89,WW089,Narrow River 03 - Lower Pond A,12,NRPA
15360,WW089,7/30/20,"Salinity, (ppt) - 00480",20,ppt,,Narrow River 03 - Lower Pond A,Narragansett Bay,North Kingstown,Estuary,NRPA,44,89,WW089,Narrow River 03 - Lower Pond A,12,NRPA
15361,WW089,7/30/20,"Salinity, (ppt) - 00480",23.5,ppt,,Narrow River 03 - Lower Pond A,Narragansett Bay,North Kingstown,Estuary,NRPA,44,89,WW089,Narrow River 03 - Lower Pond A,12,NRPA
15362,WW089,7/30/20,"Salinity, (ppt) - 00480",19,ppt,,Narrow River 03 - Lower Pond A,Narragansett Bay,North Kingstown,Estuary,NRPA,44,89,WW089,Narrow River 03 - Lower Pond A,12,NRPA
15384,WW089,8/6/20,"Salinity, (ppt) - 00480",17,ppt,,Narrow River 03 - Lower Pond A,Narragansett Bay,North Kingstown,Estuary,NRPA,44,89,WW089,Narrow River 03 - Lower Pond A,12,NRPA
15385,WW089,8/6/20,"Salinity, (ppt) - 00480",21.5,ppt,,Narrow River 03 - Lower Pond A,Narragansett Bay,North Kingstown,Estuary,NRPA,44,89,WW089,Narrow River 03 - Lower Pond A,12,NRPA
15386,WW089,8/6/20,"Salinity, (ppt) - 00480",24.5,ppt,,Narrow River 03 - Lower Pond A,Narragansett Bay,North Kingstown,Estuary,NRPA,44,89,WW089,Narrow River 03 - Lower Pond A,12,NRPA
15387,WW089,8/6/20,"Salinity, (ppt) - 00480",19,ppt,,Narrow River 03 - Lower Pond A,Narragansett Bay,North Kingstown,Estuary,NRPA,44,89,WW089,Narrow River 03 - Lower Pond A,12,NRPA
15396,WW089,8/19/20,"Salinity, (ppt) - 00480",22,ppt,,Narrow River 03 - Lower Pond A,Narragansett Bay,North Kingstown,Estuary,NRPA,44,89,WW089,Narrow River 03 - Lower Pond A,12,NRPA
15397,WW089,8/19/20,"Salinity, (ppt) - 00480",25,ppt,,Narrow River 03 - Lower Pond A,Narragansett Bay,North Kingstown,Estuary,NRPA,44,89,WW089,Narrow River 03 - Lower Pond A,12,NRPA
15398,WW089,8/19/20,"Salinity, (ppt) - 00480",24,ppt,,Narrow River 03 - Lower Pond A,Narragansett Bay,North Kingstown,Estuary,NRPA,44,89,WW089,Narrow River 03 - Lower Pond A,12,NRPA
15406,WW089,9/1/20,"Salinity, (ppt) - 00480",23,ppt,,Narrow River 03 - Lower Pond A,Narragansett Bay,North Kingstown,Estuary,NRPA,44,89,WW089,Narrow River 03 - Lower Pond A,12,NRPA
15407,WW089,9/1/20,"Salinity, (ppt) - 00480",24.5,ppt,,Narrow River 03 - Lower Pond A,Narragansett Bay,North Kingstown,Estuary,NRPA,44,89,WW089,Narrow River 03 - Lower Pond A,12,NRPA
15408,WW089,9/1/20,"Salinity, (ppt) - 00480",25.5,ppt,,Narrow River 03 - Lower Pond A,Narragansett Bay,North Kingstown,Estuary,NRPA,44,89,WW089,Narrow River 03 - Lower Pond A,12,NRPA
15409,WW089,9/1/20,"Salinity, (ppt) - 00480",25,ppt,,Narrow River 03 - Lower Pond A,Narragansett Bay,North Kingstown,Estuary,NRPA,44,89,WW089,Narrow River 03 - Lower Pond A,12,NRPA
15429,WW089,9/14/20,"Salinity, (ppt) - 00480",25,ppt,,Narrow River 03 - Lower Pond A,Narragansett Bay,North Kingstown,Estuary,NRPA,44,89,WW089,Narrow River 03 - Lower Pond A,12,NRPA
15430,WW089,9/14/20,"Salinity, (ppt) - 00480",25.5,ppt,,Narrow River 03 - Lower Pond A,Narragansett Bay,North Kingstown,Estuary,NRPA,44,89,WW089,Narrow River 03 - Lower Pond A,12,NRPA
15437,WW089,9/26/20,"Salinity, (ppt) - 00480",26,ppt,,Narrow River 03 - Lower Pond A,Narragansett Bay,North Kingstown,Estuary,NRPA,44,89,WW089,Narrow River 03 - Lower Pond A,12,NRPA
15438,WW089,9/26/20,"Salinity, (ppt) - 00480",27,ppt,,Narrow River 03 - Lower Pond A,Narragansett Bay,North Kingstown,Estuary,NRPA,44,89,WW089,Narrow River 03 - Lower Pond A,12,NRPA
15453,WW089,10/9/20,"Salinity, (ppt) - 00480",26,ppt,,Narrow River 03 - Lower Pond A,Narragansett Bay,North Kingstown,Estuary,NRPA,44,89,WW089,Narrow River 03 - Lower Pond A,12,NRPA
15454,WW089,10/9/20,"Salinity, (ppt) - 00480",27.5,ppt,,Narrow River 03 - Lower Pond A,Narragansett Bay,North Kingstown,Estuary,NRPA,44,89,WW089,Narrow River 03 - Lower Pond A,12,NRPA
15484,WW089,10/24/20,"Salinity, (ppt) - 00480",25,ppt,,Narrow River 03 - Lower Pond A,Narragansett Bay,North Kingstown,Estuary,NRPA,44,89,WW089,Narrow River 03 - Lower Pond A,12,NRPA
15485,WW089,10/24/20,"Salinity, (ppt) - 00480",27,ppt,,Narrow River 03 - Lower Pond A,Narragansett Bay,North Kingstown,Estuary,NRPA,44,89,WW089,Narrow River 03 - Lower Pond A,12,NRPA
15515,WW091,6/13/20,"Salinity, (ppt) - 00480",19,ppt,,Narrow River 04 - Lower Pond B,Narragansett Bay,South Kingstown,Estuary,NRPA,45,91,WW091,Narrow River 04 - Lower Pond B,12,NRPA
15521,WW091,6/25/20,"Salinity, (ppt) - 00480",18,ppt,,Narrow River 04 - Lower Pond B,Narragansett Bay,South Kingstown,Estuary,NRPA,45,91,WW091,Narrow River 04 - Lower Pond B,12,NRPA
15522,WW091,6/25/20,"Salinity, (ppt) - 00480",20,ppt,,Narrow River 04 - Lower Pond B,Narragansett Bay,South Kingstown,Estuary,NRPA,45,91,WW091,Narrow River 04 - Lower Pond B,12,NRPA
15544,WW091,7/11/20,"Salinity, (ppt) - 00480",19.5,ppt,,Narrow River 04 - Lower Pond B,Narragansett Bay,South Kingstown,Estuary,NRPA,45,91,WW091,Narrow River 04 - Lower Pond B,12,NRPA
15545,WW091,7/11/20,"Salinity, (ppt) - 00480",20,ppt,,Narrow River 04 - Lower Pond B,Narragansett Bay,South Kingstown,Estuary,NRPA,45,91,WW091,Narrow River 04 - Lower Pond B,12,NRPA
15551,WW091,7/25/20,"Salinity, (ppt) - 00480",20,ppt,,Narrow River 04 - Lower Pond B,Narragansett Bay,South Kingstown,Estuary,NRPA,45,91,WW091,Narrow River 04 - Lower Pond B,12,NRPA
15552,WW091,7/25/20,"Salinity, (ppt) - 00480",23.5,ppt,,Narrow River 04 - Lower Pond B,Narragansett Bay,South Kingstown,Estuary,NRPA,45,91,WW091,Narrow River 04 - Lower Pond B,12,NRPA
15569,WW091,8/8/20,"Salinity, (ppt) - 00480",21.5,ppt,,Narrow River 04 - Lower Pond B,Narragansett Bay,South Kingstown,Estuary,NRPA,45,91,WW091,Narrow River 04 - Lower Pond B,12,NRPA
15570,WW091,8/8/20,"Salinity, (ppt) - 00480",24.5,ppt,,Narrow River 04 - Lower Pond B,Narragansett Bay,South Kingstown,Estuary,NRPA,45,91,WW091,Narrow River 04 - Lower Pond B,12,NRPA
15585,WW091,9/4/20,"Salinity, (ppt) - 00480",23.5,ppt,,Narrow River 04 - Lower Pond B,Narragansett Bay,South Kingstown,Estuary,NRPA,45,91,WW091,Narrow River 04 - Lower Pond B,12,NRPA
15586,WW091,9/4/20,"Salinity, (ppt) - 00480",25.5,ppt,,Narrow River 04 - Lower Pond B,Narragansett Bay,South Kingstown,Estuary,NRPA,45,91,WW091,Narrow River 04 - Lower Pond B,12,NRPA
15608,WW091,9/11/20,"Salinity, (ppt) - 00480",25,ppt,,Narrow River 04 - Lower Pond B,Narragansett Bay,South Kingstown,Estuary,NRPA,45,91,WW091,Narrow River 04 - Lower Pond B,12,NRPA
15609,WW091,9/11/20,"Salinity, (ppt) - 00480",25,ppt,,Narrow River 04 - Lower Pond B,Narragansett Bay,South Kingstown,Estuary,NRPA,45,91,WW091,Narrow River 04 - Lower Pond B,12,NRPA
15615,WW091,9/25/20,"Salinity, (ppt) - 00480",26,ppt,,Narrow River 04 - Lower Pond B,Narragansett Bay,South Kingstown,Estuary,NRPA,45,91,WW091,Narrow River 04 - Lower Pond B,12,NRPA
15616,WW091,9/25/20,"Salinity, (ppt) - 00480",27,ppt,,Narrow River 04 - Lower Pond B,Narragansett Bay,South Kingstown,Estuary,NRPA,45,91,WW091,Narrow River 04 - Lower Pond B,12,NRPA
15623,WW091,10/10/20,"Salinity, (ppt) - 00480",27,ppt,,Narrow River 04 - Lower Pond B,Narragansett Bay,South Kingstown,Estuary,NRPA,45,91,WW091,Narrow River 04 - Lower Pond B,12,NRPA
15624,WW091,10/10/20,"Salinity, (ppt) - 00480",27,ppt,,Narrow River 04 - Lower Pond B,Narragansett Bay,South Kingstown,Estuary,NRPA,45,91,WW091,Narrow River 04 - Lower Pond B,12,NRPA
15644,WW091,10/24/20,"Salinity, (ppt) - 00480",25,ppt,,Narrow River 04 - Lower Pond B,Narragansett Bay,South Kingstown,Estuary,NRPA,45,91,WW091,Narrow River 04 - Lower Pond B,12,NRPA
15645,WW091,10/24/20,"Salinity, (ppt) - 00480",27,ppt,,Narrow River 04 - Lower Pond B,Narragansett Bay,South Kingstown,Estuary,NRPA,45,91,WW091,Narrow River 04 - Lower Pond B,12,NRPA
