OBJECTID_1,Station Name,Date,Depth,Parameter,Concentration,Unit,Comments,Monitoring location,Watershed,Town,WB_Type,MonitoringGroup,OBJECTID,WW_StaNumb,WW_Station,Site_DESCR,ProjID,Ord_Id
15274,WW089,9/1/19 0:00,0.1,Temperature - 00011,24,C,,Narrow River 03 - Lower Pond A,Narragansett Bay,North Kingstown,Estuary,NRPA,44,89,WW089,Narrow River 03 - Lower Pond A,12,NRPA
15275,WW089,9/1/19 0:00,0.5,Temperature - 00011,24,C,,Narrow River 03 - Lower Pond A,Narragansett Bay,North Kingstown,Estuary,NRPA,44,89,WW089,Narrow River 03 - Lower Pond A,12,NRPA
15276,WW089,9/1/19 0:00,3,Temperature - 00011,24,C,,Narrow River 03 - Lower Pond A,Narragansett Bay,North Kingstown,Estuary,NRPA,44,89,WW089,Narrow River 03 - Lower Pond A,12,NRPA
15281,WW089,5/7/20 0:00,0.1,Temperature - 00011,21,C,,Narrow River 03 - Lower Pond A,Narragansett Bay,North Kingstown,Estuary,NRPA,44,89,WW089,Narrow River 03 - Lower Pond A,12,NRPA
15282,WW089,5/7/20 0:00,0.5,Temperature - 00011,21,C,,Narrow River 03 - Lower Pond A,Narragansett Bay,North Kingstown,Estuary,NRPA,44,89,WW089,Narrow River 03 - Lower Pond A,12,NRPA
15283,WW089,5/7/20 0:00,3,Temperature - 00011,20,C,,Narrow River 03 - Lower Pond A,Narragansett Bay,North Kingstown,Estuary,NRPA,44,89,WW089,Narrow River 03 - Lower Pond A,12,NRPA
15290,WW089,6/8/20 0:00,0.1,Temperature - 00011,22,C,,Narrow River 03 - Lower Pond A,Narragansett Bay,North Kingstown,Estuary,NRPA,44,89,WW089,Narrow River 03 - Lower Pond A,12,NRPA
15291,WW089,6/8/20 0:00,0.5,Temperature - 00011,22,C,,Narrow River 03 - Lower Pond A,Narragansett Bay,North Kingstown,Estuary,NRPA,44,89,WW089,Narrow River 03 - Lower Pond A,12,NRPA
15292,WW089,6/8/20 0:00,3,Temperature - 00011,21,C,,Narrow River 03 - Lower Pond A,Narragansett Bay,North Kingstown,Estuary,NRPA,44,89,WW089,Narrow River 03 - Lower Pond A,12,NRPA
15315,WW089,6/13/20 0:00,0.1,Temperature - 00011,22.8,C,,Narrow River 03 - Lower Pond A,Narragansett Bay,North Kingstown,Estuary,NRPA,44,89,WW089,Narrow River 03 - Lower Pond A,12,NRPA
15316,WW089,6/13/20 0:00,0.5,Temperature - 00011,22.7,C,,Narrow River 03 - Lower Pond A,Narragansett Bay,North Kingstown,Estuary,NRPA,44,89,WW089,Narrow River 03 - Lower Pond A,12,NRPA
15317,WW089,6/13/20 0:00,3,Temperature - 00011,24.3,C,,Narrow River 03 - Lower Pond A,Narragansett Bay,North Kingstown,Estuary,NRPA,44,89,WW089,Narrow River 03 - Lower Pond A,12,NRPA
15326,WW089,6/26/20 0:00,0.1,Temperature - 00011,28,C,,Narrow River 03 - Lower Pond A,Narragansett Bay,North Kingstown,Estuary,NRPA,44,89,WW089,Narrow River 03 - Lower Pond A,12,NRPA
