OBJECTID,WW_ID,Date_of_Sample,,Time,Sample_Type,Sample_Media,Depth,Parameter,Concentration,Unit,Qualifier_Code,Detection_Limit,Detection_Limit_Unit,Quantitation_Level,Quantitation_Level_Unit,Lab_Name
13050,WW089,5/4/21,00:00:00+00,3:15:00,Grab,Water,0.5,"Salinity, (ppt) - 00480",21,ppt,,0.4,ppt,0.4,ppt,URIWW
13051,WW089,5/4/21,00:00:00+00,3:15:00,Grab,Water,3,"Salinity, (ppt) - 00480",22,ppt,,0.4,ppt,0.4,ppt,URIWW
13055,WW089,5/18/21,00:00:00+00,,Grab,Water,1,"Salinity, (ppt) - 00480",15,ppt,,0.4,ppt,0.4,ppt,URIWW
13056,WW089,5/18/21,00:00:00+00,,Grab,Water,3,"Salinity, (ppt) - 00480",22,ppt,,0.4,ppt,0.4,ppt,URIWW
13082,WW089,6/2/21,00:00:00+00,8:10:00,Grab,Water,1,"Salinity, (ppt) - 00480",15,ppt,,0.4,ppt,0.4,ppt,URIWW
13083,WW089,6/2/21,00:00:00+00,8:10:00,Grab,Water,3,"Salinity, (ppt) - 00480",20,ppt,,0.4,ppt,0.4,ppt,URIWW
13090,WW089,6/20/21,00:00:00+00,9:30:00,Grab,Water,0.5,"Salinity, (ppt) - 00480",16.5,ppt,,0.4,ppt,0.4,ppt,URIWW
13091,WW089,6/20/21,00:00:00+00,9:30:00,Grab,Water,3,"Salinity, (ppt) - 00480",20,ppt,,0.4,ppt,0.4,ppt,URIWW
13100,WW089,7/5/21,00:00:00+00,9:50:00,Grab,Water,0.5,"Salinity, (ppt) - 00480",19.5,ppt,,0.4,ppt,0.4,ppt,URIWW
13101,WW089,7/5/21,00:00:00+00,9:50:00,Grab,Water,3,"Salinity, (ppt) - 00480",23,ppt,,0.4,ppt,0.4,ppt,URIWW
13125,WW089,7/13/21,00:00:00+00,9:00:00,Grab,Water,0.5,"Salinity, (ppt) - 00480",15,ppt,,0.4,ppt,0.4,ppt,URIWW
13126,WW089,7/13/21,00:00:00+00,9:00:00,Grab,Water,3,"Salinity, (ppt) - 00480",20,ppt,,0.4,ppt,0.4,ppt,URIWW
13134,WW089,7/20/21,00:00:00+00,11:30:00,Grab,Water,0.5,"Salinity, (ppt) - 00480",17,ppt,,0.4,ppt,0.4,ppt,URIWW
13135,WW089,7/20/21,00:00:00+00,11:30:00,Grab,Water,3,"Salinity, (ppt) - 00480",21,ppt,,0.4,ppt,0.4,ppt,URIWW
13142,WW089,8/7/21,00:00:00+00,10:30:00,Grab,Water,0.5,"Salinity, (ppt) - 00480",17.5,ppt,,0.4,ppt,0.4,ppt,URIWW
13143,WW089,8/7/21,00:00:00+00,10:30:00,Grab,Water,3,"Salinity, (ppt) - 00480",20.5,ppt,,0.4,ppt,0.4,ppt,URIWW
13165,WW089,8/11/21,00:00:00+00,10:00:00,Grab,Water,0.5,"Salinity, (ppt) - 00480",17,ppt,,0.4,ppt,0.4,ppt,URIWW
13166,WW089,8/11/21,00:00:00+00,10:00:00,Grab,Water,3,"Salinity, (ppt) - 00480",21.5,ppt,,0.4,ppt,0.4,ppt,URIWW
13175,WW089,8/28/21,00:00:00+00,10:30:00,Grab,Water,0.5,"Salinity, (ppt) - 00480",20,ppt,,0.4,ppt,0.4,ppt,URIWW
13176,WW089,8/28/21,00:00:00+00,10:30:00,Grab,Water,3,"Salinity, (ppt) - 00480",22.5,ppt,,0.4,ppt,0.4,ppt,URIWW
13198,WW089,9/8/21,00:00:00+00,7:50:00,Grab,Water,0.5,"Salinity, (ppt) - 00480",15,ppt,,0.4,ppt,0.4,ppt,URIWW
13199,WW089,9/8/21,00:00:00+00,7:50:00,Grab,Water,3,"Salinity, (ppt) - 00480",20,ppt,,0.4,ppt,0.4,ppt,URIWW
13209,WW089,9/23/21,00:00:00+00,10:00:00,Grab,Water,0.5,"Salinity, (ppt) - 00480",18,ppt,,0.4,ppt,0.4,ppt,URIWW
13210,WW089,9/23/21,00:00:00+00,10:00:00,Grab,Water,3,"Salinity, (ppt) - 00480",21,ppt,,0.4,ppt,0.4,ppt,URIWW
13218,WW089,10/9/21,00:00:00+00,10:00:00,Grab,Water,0.5,"Salinity, (ppt) - 00480",18,ppt,,0.4,ppt,0.4,ppt,URIWW
13219,WW089,10/9/21,00:00:00+00,10:00:00,Grab,Water,3,"Salinity, (ppt) - 00480",21,ppt,,0.4,ppt,0.4,ppt,URIWW
13228,WW089,10/14/21,00:00:00+00,11:30:00,Grab,Water,0.5,"Salinity, (ppt) - 00480",21,ppt,,0.4,ppt,0.4,ppt,URIWW
13266,WW091,5/7/21,00:00:00+00,12:00:00,Grab,Water,0.5,"Salinity, (ppt) - 00480",16.5,ppt,,0.4,ppt,0.4,ppt,URIWW
13267,WW091,5/7/21,00:00:00+00,12:00:00,Grab,Water,3,"Salinity, (ppt) - 00480",22.5,ppt,,0.4,ppt,0.4,ppt,URIWW
13295,WW091,6/5/21,00:00:00+00,10:15:00,Grab,Water,0.5,"Salinity, (ppt) - 00480",17,ppt,,0.4,ppt,0.4,ppt,URIWW
13296,WW091,6/5/21,00:00:00+00,10:15:00,Grab,Water,3,"Salinity, (ppt) - 00480",17.5,ppt,,0.4,ppt,0.4,ppt,URIWW
13325,WW091,7/10/21,00:00:00+00,9:15:00,Grab,Water,0.5,"Salinity, (ppt) - 00480",16,ppt,,0.4,ppt,0.4,ppt,URIWW
13326,WW091,7/10/21,00:00:00+00,9:15:00,Grab,Water,3,"Salinity, (ppt) - 00480",20,ppt,,0.4,ppt,0.4,ppt,URIWW
13334,WW091,7/24/21,00:00:00+00,10:15:00,Grab,Water,0.5,"Salinity, (ppt) - 00480",19,ppt,,0.4,ppt,0.4,ppt,URIWW
13335,WW091,7/24/21,00:00:00+00,10:15:00,Grab,Water,3,"Salinity, (ppt) - 00480",22,ppt,,0.4,ppt,0.4,ppt,URIWW
13344,WW091,8/8/21,00:00:00+00,3:00:00,Grab,Water,0.5,"Salinity, (ppt) - 00480",15,ppt,,0.4,ppt,0.4,ppt,URIWW
13345,WW091,8/8/21,00:00:00+00,3:00:00,Grab,Water,3,"Salinity, (ppt) - 00480",21.5,ppt,,0.4,ppt,0.4,ppt,URIWW
13368,WW091,8/14/21,00:00:00+00,8:30:00,Grab,Water,0.5,"Salinity, (ppt) - 00480",17.5,ppt,,0.4,ppt,0.4,ppt,URIWW
13369,WW091,8/14/21,00:00:00+00,8:30:00,Grab,Water,3,"Salinity, (ppt) - 00480",21,ppt,,0.4,ppt,0.4,ppt,URIWW
13378,WW091,8/27/21,00:00:00+00,1:00:00,Grab,Water,0.5,"Salinity, (ppt) - 00480",19.5,ppt,,0.4,ppt,0.4,ppt,URIWW
13379,WW091,8/27/21,00:00:00+00,1:00:00,Grab,Water,3,"Salinity, (ppt) - 00480",22,ppt,,0.4,ppt,0.4,ppt,URIWW
13404,WW091,9/11/21,00:00:00+00,8:00:00,Grab,Water,0.5,"Salinity, (ppt) - 00480",15,ppt,,0.4,ppt,0.4,ppt,URIWW
13405,WW091,9/11/21,00:00:00+00,8:00:00,Grab,Water,3,"Salinity, (ppt) - 00480",20.5,ppt,,0.4,ppt,0.4,ppt,URIWW
13413,WW091,9/22/21,00:00:00+00,7:45:00,Grab,Water,0.5,"Salinity, (ppt) - 00480",18,ppt,,0.4,ppt,0.4,ppt,URIWW
13414,WW091,9/22/21,00:00:00+00,7:45:00,Grab,Water,3,"Salinity, (ppt) - 00480",22,ppt,,0.4,ppt,0.4,ppt,URIWW
13421,WW091,10/10/21,00:00:00+00,10:40:00,Grab,Water,0.5,"Salinity, (ppt) - 00480",21,ppt,,0.4,ppt,0.4,ppt,URIWW
13422,WW091,10/10/21,00:00:00+00,10:40:00,Grab,Water,3,"Salinity, (ppt) - 00480",21.5,ppt,,0.4,ppt,0.4,ppt,URIWW
13447,WW091,10/20/21,00:00:00+00,11:30:00,Grab,Water,0.5,"Salinity, (ppt) - 00480",21,ppt,,0.4,ppt,0.4,ppt,URIWW
