OBJECTID,WW_ID,Date_of_Sample,Time,Sample_Type,Sample_Media,Depth,Parameter,Concentration,Unit,Qualifier_Code,Detection_Limit,Detection_Limit_Unit,Quantitation_Level,Quantitation_Level_Unit,Lab_Name
13052,WW089,2021/05/04 00:00:00+00,3:15:00,Grab,Water,0.5,Temperature - 00011,15.2,C,,-35,C,-35,C,URIWW
13053,WW089,2021/05/04 00:00:00+00,3:15:00,Grab,Water,3,Temperature - 00011,9.9,C,,-35,C,-35,C,URIWW
13061,WW089,2021/05/19 00:00:00+00,,Grab,Water,0.1,Temperature - 00011,22.3,C,,-35,C,-35,C,URIWW
13062,WW089,2021/05/19 00:00:00+00,,Grab,Water,0.5,Temperature - 00011,19.3,C,,-35,C,-35,C,URIWW
13063,WW089,2021/05/19 00:00:00+00,,Grab,Water,3,Temperature - 00011,12.6,C,,-35,C,-35,C,URIWW
13085,WW089,2021/06/02 00:00:00+00,8:10:00,Grab,Water,0.5,Temperature - 00011,17.1,C,,-35,C,-35,C,URIWW
13093,WW089,2021/06/20 00:00:00+00,9:30:00,Grab,Water,0.1,Temperature - 00011,24.5,C,,-35,C,-35,C,URIWW
13094,WW089,2021/06/20 00:00:00+00,9:30:00,Grab,Water,0.5,Temperature - 00011,25.1,C,,-35,C,-35,C,URIWW
13103,WW089,2021/07/05 00:00:00+00,9:50:00,Grab,Water,0.1,Temperature - 00011,22.2,C,,-35,C,-35,C,URIWW
13104,WW089,2021/07/05 00:00:00+00,9:50:00,Grab,Water,0.5,Temperature - 00011,22.1,C,,-35,C,-35,C,URIWW
13105,WW089,2021/07/05 00:00:00+00,9:50:00,Grab,Water,3,Temperature - 00011,23.6,C,,-35,C,-35,C,URIWW
13128,WW089,2021/07/13 00:00:00+00,9:00:00,Grab,Water,0.1,Temperature - 00011,24.1,C,,-35,C,-35,C,URIWW
13129,WW089,2021/07/13 00:00:00+00,9:00:00,Grab,Water,0.5,Temperature - 00011,24.3,C,,-35,C,-35,C,URIWW
13137,WW089,2021/07/20 00:00:00+00,11:30:00,Grab,Water,0.1,Temperature - 00011,27.8,C,,-35,C,-35,C,URIWW
13138,WW089,2021/07/20 00:00:00+00,11:30:00,Grab,Water,0.5,Temperature - 00011,27.9,C,,-35,C,-35,C,URIWW
13145,WW089,2021/08/07 00:00:00+00,10:30:00,Grab,Water,0.5,Temperature - 00011,26.2,C,,-35,C,-35,C,URIWW
13146,WW089,2021/08/07 00:00:00+00,10:30:00,Grab,Water,3,Temperature - 00011,25.8,C,,-35,C,-35,C,URIWW
13168,WW089,2021/08/11 00:00:00+00,10:00:00,Grab,Water,0.1,Temperature - 00011,26.3,C,,-35,C,-35,C,URIWW
13169,WW089,2021/08/11 00:00:00+00,10:00:00,Grab,Water,0.5,Temperature - 00011,26.3,C,,-35,C,-35,C,URIWW
13178,WW089,2021/08/28 00:00:00+00,10:30:00,Grab,Water,0.5,Temperature - 00011,22,C,,-35,C,-35,C,URIWW
13201,WW089,2021/09/08 00:00:00+00,7:50:00,Grab,Water,0.1,Temperature - 00011,23.6,C,,-35,C,-35,C,URIWW
13202,WW089,2021/09/08 00:00:00+00,7:50:00,Grab,Water,0.5,Temperature - 00011,24.1,C,,-35,C,-35,C,URIWW
13203,WW089,2021/09/08 00:00:00+00,7:50:00,Grab,Water,3,Temperature - 00011,24.6,C,,-35,C,-35,C,URIWW
13212,WW089,2021/09/23 00:00:00+00,10:00:00,Grab,Water,0.1,Temperature - 00011,23.4,C,,-35,C,-35,C,URIWW
13213,WW089,2021/09/23 00:00:00+00,10:00:00,Grab,Water,0.5,Temperature - 00011,23.5,C,,-35,C,-35,C,URIWW
13214,WW089,2021/09/23 00:00:00+00,10:00:00,Grab,Water,3,Temperature - 00011,23.8,C,,-35,C,-35,C,URIWW
13221,WW089,2021/10/09 00:00:00+00,10:00:00,Grab,Water,0.5,Temperature - 00011,19.7,C,,-35,C,-35,C,URIWW
