site_name,download_date,source_description,lat,lon,firstyear,finalyear,Mean_Annual_Salinity_ppt,Mean_max_Salinity_ppt,Mean_min_Salinity_ppt,Salinity_st_dev,Salinity_n,Salinity_years,collection_type,Site_Order,Quality_Check,3_years_data,6_months_data,1_daily_measure,10_years_recent
SC2,7/6/23,BCCWMS Coastal Volunteer Monitoring Data,33.52401,-79.06198,2008,2022,34.0782663,35.9655556,31.0724444,1.44934387,323,15,intermittent_bimonthly,20_SC,FALSE,TRUE,TRUE,FALSE,TRUE
GA1,7/11/23,NERR Centralized Data. Sapelo Island - Lower Duplin SAPLDWQ,31.41794,-81.29605,1999,2022,26.95660344,35.352,6.128,4.596149854,639023,25,continuous,15_GA,TRUE,TRUE,TRUE,TRUE,TRUE
AL1,7/11/23,NERR Centralized Data. Grand Bay - Point Aux Chenes Bay GNDPCWQ,30.3486,-88.4185,2005,2022,21.9349343,31.07894737,7.878947368,5.756667062,468737,19,continuous,11_AL,TRUE,TRUE,TRUE,TRUE,TRUE
TX2,7/7/23,NERR Centralized Data. Mission Aransas - Copano Bay West MARCWWQ,28.0841,-97.2009,2008,2021,20.85789654,30.22352941,6.364705882,11.66393511,490107,17,continuous,2_TX,TRUE,TRUE,TRUE,TRUE,TRUE
RI2,7/11/23,NERR Centralized Data. Narragansett Bay T-Wharf Bottom NARTBWQ,41.57836,-71.32112,2002,2022,30.52729905,33.41818182,19.45454545,1.082111898,629696,22,continuous,33_RI,TRUE,TRUE,TRUE,TRUE,TRUE
NH1,7/11/23,NERR Centralized Data. Great Bay - Squamscott River GRBSQWQ,43.0524,-70.91181,1997,2022,18.64139071,30.04444444,1.144444444,8.32092582,432370,27,continuous,35_NH,TRUE,TRUE,TRUE,TRUE,TRUE
TX3,8/14/23,USGS Water Data Tres Palacios Bay - 08162675,28.6865,-96.2398,2020,2022,20.0276684,28.33333333,7.666666667,7.678590578,46985,3,continuous,3_TX,TRUE,TRUE,TRUE,TRUE,TRUE
LA2,8/14/23,USGS Water Data Calcasieu River - 08017118,29.8157762,-93.349043,2007,2022,17.36607903,31.5625,3.89375,6.385193467,168813,16,continuous,6_LA,TRUE,TRUE,TRUE,TRUE,TRUE
TX4,8/14/23,USGS Water Data Galveston Bay - 08067303,29.6703,-94.8536,2020,2022,11.88196063,20,3.666666667,5.231486863,52330,3,continuous,4_TX,TRUE,TRUE,TRUE,TRUE,TRUE
LA4,8/15/23,USGS Water Data Sister Lake - 07381349,29.24916667,-90.9211111,2007,2022,10.4648686,25.75,0.96875,5.582166837,246950,16,continuous,8_LA,TRUE,TRUE,TRUE,TRUE,TRUE
LA5,8/15/23,USGS Water Data Culch Plant/Hackberry Bay - 073802512,29.39855505,-90.0411844,2007,2022,9.411105429,27.8,0.533333333,5.698713142,154474,15,continuous,9_LA,TRUE,TRUE,TRUE,TRUE,TRUE
SC1,8/15/23,USGS Water Data Charleston Harbor - 021720710,32.7804544,-79.923699,2020,2022,24.09142225,34,14,2.897162643,59701,3,continuous,19_SC,TRUE,TRUE,TRUE,TRUE,TRUE
NC2,8/16/23,UNCW's Shellfish Research Hatchery at the Center for Marine Science and NCNERR - CMSDOCK,34.14,-77.8625,2018,2023,28.62290766,36.35833333,0.171666667,5.018323783,151954,6,weekly_continuous,22_NC,TRUE,TRUE,TRUE,TRUE,TRUE
NC1,8/16/23,NERR Centralized Data. North Carolina - Zeke's Basin/Cape Fear River NOCZBWQ,33.9547,-77.935,2002,2023,21.90667803,31.16956522,4.67826087,6.169087746,620857,23,continuous,21_NC,TRUE,TRUE,TRUE,TRUE,TRUE
LA3,8/17/23,USGS Water Data Vermilion Bay - 07387040,29.71326575,-91.8803982,2007,2022,3.92085229,13.44,0.233333333,3.132714594,321792,15,continuous,7_LA,TRUE,TRUE,TRUE,TRUE,TRUE
LA6,8/17/23,USGS Water Data Lake Fortuna - 07374526,29.63354395,-89.5636694,2007,2022,9.574933836,24.3125,1.48125,5.899617703,147362,16,continuous,10_LA,TRUE,TRUE,TRUE,TRUE,TRUE
