Date,Time,Timestamp,Station,Temp,Salinity
6/17/14,11:45:00,17-06-2014 11:45:00,RR,20.76,15.66
6/17/14,12:00:00,17-06-2014 12:00:00,RR,20.92,16.36
6/17/14,12:15:00,17-06-2014 12:15:00,RR,20.81,17.28
6/17/14,12:30:00,17-06-2014 12:30:00,RR,20.93,18.51
6/17/14,12:45:00,17-06-2014 12:45:00,RR,20.89,19.39
6/17/14,13:00:00,17-06-2014 13:00:00,RR,20.77,20.03
6/17/14,13:15:00,17-06-2014 13:15:00,RR,20.59,20.67
6/17/14,13:30:00,17-06-2014 13:30:00,RR,20.48,22.08
6/17/14,13:45:00,17-06-2014 13:45:00,RR,20.57,22.66
6/17/14,14:00:00,17-06-2014 14:00:00,RR,20.53,22.96
6/17/14,14:15:00,17-06-2014 14:15:00,RR,20.35,23.17
6/17/14,14:30:00,17-06-2014 14:30:00,RR,20.19,23.38
6/17/14,14:45:00,17-06-2014 14:45:00,RR,20.08,23.53
6/17/14,15:00:00,17-06-2014 15:00:00,RR,19.98,23.69
6/17/14,15:15:00,17-06-2014 15:15:00,RR,19.95,23.78
6/17/14,15:30:00,17-06-2014 15:30:00,RR,19.94,23.84
6/17/14,15:45:00,17-06-2014 15:45:00,RR,19.88,23.93
6/17/14,16:00:00,17-06-2014 16:00:00,RR,19.89,23.95
6/17/14,16:15:00,17-06-2014 16:15:00,RR,19.92,24.05
6/17/14,16:30:00,17-06-2014 16:30:00,RR,20.04,25.41
6/17/14,16:45:00,17-06-2014 16:45:00,RR,20,26.45
6/17/14,17:00:00,17-06-2014 17:00:00,RR,20.17,26.27
6/17/14,17:15:00,17-06-2014 17:15:00,RR,20.47,25.99
6/17/14,17:30:00,17-06-2014 17:30:00,RR,20.73,25.69
6/17/14,17:45:00,17-06-2014 17:45:00,RR,20.9,25.36
6/17/14,18:00:00,17-06-2014 18:00:00,RR,21.07,24.98
6/17/14,18:15:00,17-06-2014 18:15:00,RR,21.22,24.44
6/17/14,18:30:00,17-06-2014 18:30:00,RR,21.31,23.83
6/17/14,18:45:00,17-06-2014 18:45:00,RR,21.4,23.09
6/17/14,19:00:00,17-06-2014 19:00:00,RR,21.49,22.49
6/17/14,19:15:00,17-06-2014 19:15:00,RR,21.56,21.82
6/17/14,19:30:00,17-06-2014 19:30:00,RR,21.61,21.27
6/17/14,19:45:00,17-06-2014 19:45:00,RR,21.63,20.68
