SG_number,ID_SiteDate
SG_1244,CC_VA_2022-7-11
SG_1193,Culch_Ba_LA_2022-6-21
SG_1841,LCP_UP_MD_2022-10-20
SG_1961,FFJ_CF_NC_2023-7-19
SG_1154,SkR_GA_2022-6-14
SG_1963,FFJ_CF_NC_2023-7-19
SG_1968,FFJ_CF_NC_2023-7-19
SG_1630,SaltBay_Canada_2022-9-27
SG_1915,Orrs_Cove_ME_2022-10-31
SG_1543,CPR_MS_AL_2022-8-24
SG_1435,Cal_Lake_LA_2022-8-11
SG_1932,UNCW_MS_NC_2023-7-17
SG_1936,UNCW_MS_NC_2023-7-17
SG_1349,Nickle_Rf_LA_2022-8-1
SG_1964,FFJ_CF_NC_2023-7-19
SG_1290,Sapelo_Is_GA_2022-7-17
SG_1928,UNCW_MS_NC_2023-7-17
SG_1875,DC_DR_ME_2022-10-25
SG_1413,GriceCove_SC_2022-8-10
SG_1966,FFJ_CF_NC_2023-7-19
SG_1132,FP_Sav_GA_2022-6-10
SG_1053,OL_MI_SC_2022-5-31
SG_1929,UNCW_MS_NC_2023-7-17
SG_1327,Mer_GA_2022-7-26
SG_1044,OL_MI_SC_2022-5-31
SG_1462,SR_GB_NH_2022-8-12
SG_1721,WS_CB_VA_2022-10-7
SG_1973,FFJ_CF_NC_2023-7-19
SG_1755,DWS_CB_VA_2022-10-7
SG_1086,GalBay_TX
SG_1346,Nickle_Rf_LA_2022-8-1
SG_1659,EelLake_Canada_2022-9-27
SG_1825,PrEdIs_CN_A_2022-10-18
SG_1689,SaLa_GA_2022-10-5
SG_1658,EelLake_Canada_2022-9-27
SG_1322,Mer_GA_2022-7-26
SG_1783,NPS_PS_NC_2022-10-12
SG_1074,GalBay_TX
SG_1177,Culch_Ba_LA_2022-6-21
SG_1348,Nickle_Rf_LA_2022-8-1
SG_1723,WS_CB_VA_2022-10-7
SG_1523,DC_NB_RI_2022-8-19
SG_1616,SawIs_MA_2022-9-5
SG_1351,Nickle_Rf_LA_2022-8-1
SG_1207,TP_TX_2022-6-28
SG_1208,TP_TX_2022-6-28
SG_1041,OL_MI_SC_2022-5-31
SG_1404,GriceCove_SC_2022-8-10
SG_1354,Nickle_Rf_LA_2022-8-1
SG_1236,CC_VA_2022-7-11
SG_1485,NR_NB_RI_2022-8-19
SG_1202,TP_TX_2022-6-28
SG_1347,Nickle_Rf_LA_2022-8-1
SG_1631,SaltBay_Canada_2022-9-27
SG_1288,Sapelo_Is_GA_2022-7-17
SG_1752,DWS_CB_VA_2022-10-7
SG_1071,GalBay_TX
SG_1052,OL_MI_SC_2022-5-31
SG_1722,WS_CB_VA_2022-10-7
SG_1234,CC_VA_2022-7-11
SG_1159,SkR_GA_2022-6-14
SG_1491,NR_NB_RI_2022-8-19
SG_1092,GalBay_TX
SG_1536,DC_NB_RI_2022-8-19
SG_1043,OL_MI_SC_2022-5-31
SG_1601,SawIs_MA_2022-9-5
SG_1102,CB_TX_2022-6-9
SG_1051,OL_MI_SC_2022-5-31
SG_1575,KP_FGR_FL_2022-8-23
SG_1091,GalBay_TX
SG_1089,GalBay_TX
SG_1492,NR_NB_RI_2022-8-19
SG_1286,Sapelo_Is_GA_2022-7-17
SG_1203,TP_TX_2022-6-28
SG_1156,SkR_GA_2022-6-14
SG_1649,SaltBay_Canada_2022-9-27
