SG_number,ID_SiteDate
SG_1704,SaLa_GA_2022-10-5
SG_1620,SawIs_MA_2022-9-5
SG_1974,FFJ_CF_NC_2023-7-19
SG_1412,GriceCove_SC_2022-8-10
SG_1777,DWS_CB_VA_2022-10-7
SG_1934,UNCW_MS_NC_2023-7-17
SG_1300,Sapelo_Is_GA_2022-7-17
SG_1614,SawIs_MA_2022-9-5
SG_1956,UNCW_MS_NC_2023-7-17
SG_1983,FFJ_CF_NC_2023-7-19
SG_1454,Cal_Lake_LA_2022-8-11
SG_1216,TP_TX_2022-6-28
SG_1515,DC_NB_RI_2022-8-19
SG_1960,FFJ_CF_NC_2023-7-19
SG_1469,SR_GB_NH_2022-8-12
SG_1727,WS_CB_VA_2022-10-7
SG_1192,Culch_Ba_LA_2022-6-21
SG_1388,Sister_Lk_LA_2022-8-9
SG_1914,Orrs_Cove_ME_2022-10-31
SG_1122,CB_TX_2022-6-9
SG_1094,GalBay_TX
SG_1150,FP_Sav_GA_2022-6-10
SG_1979,FFJ_CF_NC_2023-7-19
SG_1958,FFJ_CF_NC_2023-7-19
SG_1985,FFJ_CF_NC_2023-7-19
SG_1501,NR_NB_RI_2022-8-19
SG_1364,Nickle_Rf_LA_2022-8-1
SG_1224,TP_TX_2022-6-28
SG_1792,NPS_PS_NC_2022-10-12
SG_1794,NPS_PS_NC_2022-10-12
SG_1950,UNCW_MS_NC_2023-7-17
SG_1953,UNCW_MS_NC_2023-7-17
SG_1110,CB_TX_2022-6-9
SG_1644,SaltBay_Canada_2022-9-27
SG_1945,UNCW_MS_NC_2023-7-17
SG_1251,CC_VA_2022-7-11
SG_1951,UNCW_MS_NC_2023-7-17
SG_1535,DC_NB_RI_2022-8-19
SG_1976,FFJ_CF_NC_2023-7-19
SG_1685,EelLake_Canada_2022-9-27
SG_1942,UNCW_MS_NC_2023-7-17
SG_1500,NR_NB_RI_2022-8-19
SG_1837,PrEdIs_CN_A_2022-10-18
SG_1987,FFJ_CF_NC_2023-7-19
SG_1870,DC_DR_ME_2022-10-25
SG_1940,UNCW_MS_NC_2023-7-17
SG_1683,EelLake_Canada_2022-9-27
SG_1567,CPR_MS_AL_2022-8-24
SG_1096,GalBay_TX
SG_1858,LCP_UP_MD_2022-10-20
SG_1946,UNCW_MS_NC_2023-7-17
SG_1817,PrEdIs_CN_A_2022-10-18
SG_1590,KP_FGR_FL_2022-8-23
SG_1978,FFJ_CF_NC_2023-7-19
SG_1399,Sister_Lk_LA_2022-8-9
SG_1717,SaLa_GA_2022-10-5
SG_1948,UNCW_MS_NC_2023-7-17
SG_1329,Mer_GA_2022-7-26
SG_1213,TP_TX_2022-6-28
SG_1147,FP_Sav_GA_2022-6-10
